Breed,Breed Size,Sex,Age,Spay/Neuter Status,Daily Activity Level,Daily Walk Distance (miles),Hours of Sleep,Play Time (hrs),Annual Vet Visits,Weight (kg),Life Stage
Yorkshire Terrier,Small,Female,8.0,Spayed,Active,2.0,13.0,2.0,1.0,4.84,Senior
Dachshund,Small,Male,8.0,Spayed,Unknown,1.0,9.0,2.0,0.0,4.38,Senior
Poodle,Small,Male,13.0,Neutered,Low,0.0,11.0,2.0,2.0,21.77,Senior
Great Dane,Large,Male,9.0,Unknown,Unknown,1.0,10.0,1.0,2.0,49.16,Senior
Dachshund,Small,Female,2.0,Spayed,Active,2.0,12.0,0.0,2.0,6.54,Young Adult
Doberman,Large,Female,12.0,Spayed,Unknown,3.0,10.0,1.0,1.0,33.11,Senior
German Shepherd,Large,Male,9.0,Unknown,Moderate,3.0,11.0,1.0,3.0,24.49,Senior
Rottweiler,Large,Male,2.0,Unknown,Unknown,2.0,11.0,2.0,2.0,52.52,Young Adult
Rottweiler,Large,Female,6.0,Spayed,Unknown,0.0,9.0,3.0,0.0,43.72,Adult
Chihuahua,Small,Female,7.0,Spayed,Very Active,2.0,10.0,2.0,1.0,1.08,Adult
Chihuahua,Small,Female,13.0,Unknown,Moderate,2.0,8.0,2.0,2.0,1.41,Senior
Poodle,Small,Female,9.0,Spayed,Active,3.0,11.0,3.0,2.0,11.34,Senior
Doberman,Large,Female,7.0,Spayed,Active,0.0,11.0,2.0,0.0,40.79,Adult
Boxer,Medium,Female,8.0,Unknown,Unknown,3.0,10.0,2.0,2.0,28.12,Senior
Golden Retriever,Large,Male,9.0,Spayed,Unknown,3.0,8.0,3.0,3.0,29.84,Senior
Labrador Retriever,Large,Male,11.0,Neutered,Low,4.0,10.0,0.0,1.0,28.58,Senior
Dachshund,Small,Female,9.0,Spayed,Moderate,1.0,14.0,1.0,1.0,4.1,Senior
German Shepherd,Large,Male,6.0,Unknown,Active,1.0,11.0,1.0,2.0,34.47,Adult
Doberman,Large,Male,7.0,Spayed,Very Active,1.0,10.0,1.0,1.0,35.1,Adult
Labrador Retriever,Large,Female,8.0,Neutered,Unknown,0.0,11.0,3.0,4.0,30.77,Senior
Boxer,Medium,Male,9.0,Neutered,Very Active,0.0,12.0,1.0,1.0,32.66,Senior
Boxer,Medium,Female,3.0,Neutered,Unknown,4.0,9.0,1.0,3.0,32.55,Young Adult
Doberman,Large,Female,6.0,Neutered,Moderate,0.0,11.0,2.0,1.0,39.19,Adult
Golden Retriever,Large,Female,5.0,Spayed,Very Active,1.0,14.0,1.0,2.0,27.26,Adult
Beagle,Unknown,Male,4.0,Neutered,Moderate,3.0,9.0,2.0,1.0,9.4,Young Adult
Golden Retriever,Large,Female,2.0,Spayed,Active,1.0,11.0,3.0,1.0,29.94,Young Adult
Labrador Retriever,Large,Male,4.0,Spayed,Low,3.0,12.0,1.0,1.0,27.62,Young Adult
Doberman,Large,Male,1.0,Unknown,Low,3.0,13.0,2.0,2.0,30.29,Puppy
Labrador Retriever,Large,Male,7.0,Neutered,Moderate,4.0,12.0,2.0,0.0,29.93,Adult
Bulldog,Medium,Male,5.0,Spayed,Unknown,0.0,10.0,3.0,2.0,19.85,Adult
Chihuahua,Small,Female,12.0,Spayed,Unknown,2.0,11.0,1.0,1.0,3.99,Senior
Chihuahua,Unknown,Female,8.0,Neutered,Moderate,1.0,12.0,3.0,0.0,3.86,Senior
German Shepherd,Large,Female,2.0,Unknown,Low,1.0,10.0,1.0,1.0,25.85,Young Adult
Poodle,Small,Male,6.0,Spayed,Moderate,2.0,9.0,2.0,1.0,14.97,Adult
Siberian Husky,Medium,Male,9.0,Spayed,Moderate,3.0,9.0,3.0,1.0,20.41,Senior
Dachshund,Small,Female,12.0,Spayed,Low,2.0,11.0,2.0,2.0,7.92,Senior
Labrador Retriever,Large,Female,4.0,Unknown,Active,2.0,13.0,1.0,1.0,32.31,Young Adult
Golden Retriever,Large,Male,5.0,Spayed,Unknown,2.0,9.0,1.0,1.0,33.84,Adult
Rottweiler,Large,Female,5.0,Unknown,Active,4.0,11.0,3.0,1.0,55.56,Adult
Bulldog,Medium,Female,2.0,Unknown,Active,3.0,14.0,3.0,0.0,19.83,Young Adult
Golden Retriever,Large,Male,4.0,Unknown,Unknown,4.0,9.0,3.0,0.0,27.58,Young Adult
Boxer,Medium,Male,4.0,Spayed,Moderate,7.0,13.0,3.0,3.0,31.02,Young Adult
Poodle,Small,Male,10.0,Neutered,Low,5.0,9.0,1.0,2.0,20.87,Senior
Rottweiler,Large,Female,12.0,Unknown,Very Active,2.0,12.0,0.0,2.0,56.85,Senior
Great Dane,Large,Female,2.0,Spayed,Low,0.0,10.0,2.0,4.0,57.0,Young Adult
Rottweiler,Large,Female,6.0,Neutered,Unknown,4.0,11.0,2.0,3.0,58.59,Adult
German Shepherd,Large,Male,7.0,Neutered,Active,1.0,8.0,1.0,1.0,29.48,Adult
German Shepherd,Large,Male,8.0,Neutered,Moderate,2.0,12.0,3.0,0.0,30.84,Senior
Yorkshire Terrier,Small,Male,13.0,Unknown,Very Active,1.0,11.0,2.0,2.0,4.46,Senior
Australian Shepherd,Medium,Male,4.0,Neutered,Active,0.0,11.0,2.0,1.0,27.34,Young Adult
Great Dane,Large,Male,8.0,Unknown,Active,3.0,13.0,1.0,0.0,62.62,Senior
Golden Retriever,Large,Female,6.0,Unknown,Very Active,2.0,13.0,1.0,1.0,29.03,Adult
Beagle,Small,Female,5.0,Unknown,Moderate,4.0,9.0,2.0,2.0,9.96,Adult
German Shepherd,Large,Female,3.0,Neutered,Active,1.0,12.0,2.0,2.0,29.03,Young Adult
Boxer,Medium,Male,2.0,Neutered,Active,3.0,11.0,3.0,1.0,30.78,Young Adult
Great Dane,Large,Male,9.0,Neutered,Very Active,3.0,12.0,2.0,3.0,66.54,Senior
Beagle,Small,Female,9.0,Neutered,Moderate,1.0,8.0,2.0,1.0,9.55,Senior
Poodle,Small,Female,1.0,Neutered,Active,6.0,11.0,1.0,1.0,28.58,Puppy
Doberman,Large,Female,12.0,Neutered,Active,4.0,12.0,3.0,1.0,32.64,Senior
Doberman,Large,Male,4.0,Spayed,Unknown,1.0,11.0,1.0,0.0,43.4,Young Adult
Doberman,Large,Male,5.0,Neutered,Unknown,3.0,11.0,2.0,2.0,31.3,Adult
Great Dane,Large,Female,13.0,Spayed,Active,2.0,14.0,4.0,1.0,77.69,Senior
Dachshund,Small,Female,12.0,Spayed,Moderate,3.0,12.0,2.0,4.0,6.18,Senior
Poodle,Small,Male,2.0,Spayed,Unknown,4.0,8.0,2.0,3.0,16.33,Young Adult
Poodle,Small,Male,7.0,Unknown,Very Active,5.0,8.0,3.0,1.0,11.79,Adult
Dachshund,Small,Female,3.0,Neutered,Very Active,0.0,11.0,1.0,2.0,5.46,Young Adult
Rottweiler,Large,Female,3.0,Unknown,Low,3.0,12.0,1.0,4.0,42.26,Young Adult
Labrador Retriever,Large,Female,5.0,Unknown,Very Active,2.0,11.0,2.0,1.0,29.94,Adult
Labrador Retriever,Large,Male,1.0,Spayed,Active,3.0,12.0,0.0,1.0,31.3,Puppy
German Shepherd,Large,Female,2.0,Spayed,Very Active,3.0,10.0,0.0,0.0,29.94,Young Adult
Chihuahua,Small,Male,1.0,Neutered,Very Active,2.0,12.0,0.0,0.0,1.95,Puppy
Australian Shepherd,Medium,Female,7.0,Spayed,Unknown,4.0,13.0,2.0,2.0,19.5,Adult
Golden Retriever,Large,Male,7.0,Neutered,Unknown,2.0,8.0,1.0,2.0,26.15,Adult
Poodle,Small,Male,9.0,Neutered,Active,2.0,11.0,1.0,2.0,27.67,Senior
German Shepherd,Large,Female,12.0,Spayed,Unknown,1.0,13.0,1.0,1.0,39.93,Senior
Boxer,Medium,Male,1.0,Unknown,Very Active,4.0,11.0,1.0,2.0,34.32,Puppy
Siberian Husky,Medium,Male,4.0,Unknown,Low,0.0,10.0,1.0,2.0,16.17,Young Adult
Labrador Retriever,Large,Male,11.0,Unknown,Unknown,4.0,12.0,3.0,3.0,31.51,Senior
Siberian Husky,Medium,Female,8.0,Unknown,Moderate,1.0,8.0,1.0,0.0,21.77,Senior
Labrador Retriever,Large,Male,2.0,Unknown,Low,2.0,12.0,1.0,3.0,34.57,Young Adult
Labrador Retriever,Large,Male,13.0,Neutered,Very Active,2.0,9.0,3.0,0.0,31.71,Senior
Golden Retriever,Large,Unknown,6.0,Spayed,Moderate,3.0,10.0,3.0,2.0,31.95,Adult
Beagle,Small,Female,6.0,Neutered,Active,3.0,12.0,1.0,0.0,12.44,Adult
Labrador Retriever,Large,Male,3.0,Unknown,Moderate,5.0,11.0,3.0,1.0,25.31,Young Adult
German Shepherd,Large,Male,7.0,Unknown,Very Active,4.0,11.0,0.0,1.0,23.84,Adult
Rottweiler,Large,Unknown,12.0,Spayed,Unknown,3.0,11.0,2.0,2.0,52.73,Senior
Poodle,Small,Male,4.0,Spayed,Low,5.0,11.0,3.0,2.0,28.58,Young Adult
Boxer,Medium,Male,9.0,Spayed,Very Active,2.0,12.0,2.0,3.0,26.76,Senior
Doberman,Large,Male,2.0,Neutered,Low,0.0,10.0,2.0,1.0,37.17,Young Adult
Siberian Husky,Medium,Female,6.0,Spayed,Unknown,2.0,12.0,3.0,1.0,22.8,Adult
Siberian Husky,Medium,Female,2.0,Spayed,Low,3.0,10.0,0.0,4.0,26.31,Young Adult
German Shepherd,Large,Male,9.0,Spayed,Active,3.0,9.0,2.0,2.0,22.68,Senior
Siberian Husky,Medium,Female,3.0,Spayed,Very Active,4.0,13.0,1.0,2.0,22.68,Young Adult
Great Dane,Large,Male,6.0,Spayed,Active,2.0,12.0,3.0,3.0,45.48,Adult
Australian Shepherd,Medium,Male,3.0,Neutered,Active,3.0,13.0,1.0,0.0,24.62,Young Adult
Beagle,Small,Female,8.0,Unknown,Active,6.0,9.0,1.0,3.0,13.61,Senior
Golden Retriever,Large,Male,10.0,Unknown,Very Active,3.0,10.0,3.0,2.0,30.34,Senior
Bulldog,Medium,Unknown,13.0,Spayed,Moderate,0.0,13.0,1.0,1.0,18.14,Senior
Beagle,Small,Female,2.0,Neutered,Moderate,3.0,11.0,2.0,1.0,11.77,Young Adult
Labrador Retriever,Large,Female,5.0,Neutered,Moderate,4.0,10.0,0.0,4.0,33.0,Adult
Bulldog,Medium,Male,1.0,Neutered,Unknown,2.0,12.0,0.0,1.0,24.83,Puppy
Dachshund,Small,Male,12.0,Neutered,Unknown,4.0,11.0,3.0,0.0,8.71,Senior
Rottweiler,Large,Male,3.0,Spayed,Moderate,3.0,10.0,2.0,0.0,36.89,Young Adult
Unknown,Large,Female,9.0,Neutered,Low,2.0,10.0,2.0,3.0,30.39,Senior
Boxer,Medium,Female,8.0,Unknown,Low,2.0,11.0,2.0,1.0,29.08,Senior
Great Dane,Large,Female,7.0,Unknown,Moderate,2.0,11.0,2.0,1.0,51.01,Adult
Poodle,Small,Male,7.0,Unknown,Unknown,0.0,12.0,3.0,1.0,24.95,Adult
Bulldog,Medium,Female,9.0,Spayed,Very Active,0.0,13.0,2.0,2.0,21.77,Senior
Australian Shepherd,Medium,Female,8.0,Spayed,Unknown,2.0,13.0,1.0,2.0,18.14,Senior
Siberian Husky,Medium,Female,5.0,Neutered,Moderate,2.0,12.0,0.0,4.0,22.44,Adult
Poodle,Small,Male,2.0,Neutered,Unknown,1.0,11.0,3.0,0.0,23.13,Young Adult
Golden Retriever,Large,Female,2.0,Spayed,Unknown,2.0,12.0,2.0,3.0,25.07,Young Adult
Bulldog,Medium,Female,13.0,Unknown,Very Active,7.0,11.0,2.0,2.0,22.46,Senior
Labrador Retriever,Large,Male,8.0,Spayed,Very Active,4.0,11.0,4.0,3.0,28.12,Senior
Rottweiler,Large,Female,4.0,Neutered,Active,2.0,8.0,4.0,2.0,36.65,Young Adult
Bulldog,Medium,Male,5.0,Neutered,Unknown,2.0,12.0,2.0,2.0,19.04,Adult
Poodle,Small,Male,1.0,Neutered,Active,2.0,12.0,1.0,1.0,24.49,Puppy
Siberian Husky,Medium,Male,12.0,Spayed,Very Active,1.0,13.0,1.0,0.0,25.85,Senior
Siberian Husky,Medium,Male,6.0,Neutered,Low,6.0,13.0,1.0,2.0,25.4,Adult
Yorkshire Terrier,Small,Female,6.0,Unknown,Active,6.0,12.0,4.0,2.0,2.73,Adult
Labrador Retriever,Large,Male,5.0,Unknown,Active,3.0,13.0,1.0,1.0,27.5,Adult
Labrador Retriever,Large,Male,4.0,Neutered,Moderate,3.0,14.0,2.0,1.0,35.2,Young Adult
Siberian Husky,Medium,Female,8.0,Neutered,Very Active,1.0,13.0,2.0,0.0,16.42,Senior
Siberian Husky,Medium,Female,11.0,Neutered,Unknown,5.0,12.0,2.0,2.0,23.13,Senior
Golden Retriever,Large,Male,1.0,Unknown,Active,1.0,8.0,2.0,3.0,32.91,Puppy
Siberian Husky,Medium,Unknown,12.0,Spayed,Very Active,2.0,14.0,2.0,1.0,24.81,Senior
Boxer,Medium,Female,4.0,Spayed,Very Active,0.0,11.0,2.0,0.0,33.75,Young Adult
Yorkshire Terrier,Small,Female,12.0,Spayed,Very Active,1.0,8.0,2.0,2.0,2.18,Senior
Boxer,Medium,Female,7.0,Unknown,Moderate,4.0,10.0,2.0,2.0,25.91,Adult
Dachshund,Small,Male,13.0,Neutered,Low,0.0,11.0,0.0,2.0,4.87,Senior
Rottweiler,Large,Female,8.0,Spayed,Active,1.0,13.0,3.0,3.0,53.42,Senior
Australian Shepherd,Medium,Male,9.0,Spayed,Very Active,2.0,12.0,0.0,1.0,21.32,Senior
Poodle,Small,Female,1.0,Spayed,Low,4.0,11.0,0.0,3.0,23.59,Puppy
Siberian Husky,Medium,Female,13.0,Neutered,Moderate,4.0,9.0,2.0,2.0,24.49,Senior
Unknown,Large,Male,3.0,Spayed,Active,2.0,9.0,1.0,4.0,11.34,Young Adult
Unknown,Large,Male,9.0,Neutered,Unknown,3.0,10.0,2.0,1.0,28.58,Senior
Poodle,Small,Male,2.0,Unknown,Moderate,1.0,8.0,1.0,3.0,21.32,Young Adult
Dachshund,Small,Female,13.0,Spayed,Moderate,2.0,12.0,3.0,4.0,8.02,Senior
Yorkshire Terrier,Small,Male,11.0,Unknown,Active,2.0,10.0,4.0,3.0,4.75,Senior
Labrador Retriever,Large,Female,6.0,Neutered,Unknown,2.0,10.0,1.0,1.0,29.71,Adult
German Shepherd,Large,Male,6.0,Spayed,Moderate,5.0,13.0,1.0,3.0,28.12,Adult
Great Dane,Large,Female,12.0,Spayed,Very Active,1.0,14.0,2.0,0.0,72.65,Senior
German Shepherd,Large,Female,3.0,Spayed,Unknown,3.0,13.0,1.0,1.0,24.04,Young Adult
Bulldog,Medium,Male,12.0,Unknown,Unknown,4.0,8.0,1.0,1.0,21.77,Senior
German Shepherd,Unknown,Male,13.0,Unknown,Active,2.0,11.0,2.0,2.0,30.84,Senior
German Shepherd,Large,Male,12.0,Spayed,Very Active,1.0,10.0,2.0,2.0,27.81,Senior
Doberman,Large,Male,11.0,Neutered,Active,3.0,13.0,1.0,2.0,44.78,Senior
Golden Retriever,Large,Female,5.0,Unknown,Unknown,3.0,12.0,1.0,2.0,29.36,Adult
Australian Shepherd,Medium,Female,11.0,Neutered,Low,4.0,10.0,1.0,3.0,20.41,Senior
Australian Shepherd,Medium,Female,11.0,Spayed,Moderate,3.0,10.0,1.0,0.0,20.75,Senior
Golden Retriever,Large,Female,9.0,Neutered,Very Active,4.0,11.0,2.0,1.0,31.64,Senior
Rottweiler,Large,Male,7.0,Neutered,Very Active,2.0,11.0,0.0,1.0,52.55,Adult
Boxer,Medium,Female,2.0,Unknown,Low,2.0,9.0,1.0,4.0,29.48,Young Adult
Rottweiler,Large,Female,7.0,Unknown,Moderate,4.0,9.0,1.0,1.0,37.33,Adult
Dachshund,Small,Male,8.0,Neutered,Unknown,3.0,10.0,2.0,2.0,4.46,Senior
Great Dane,Large,Female,10.0,Neutered,Very Active,0.0,11.0,1.0,0.0,64.82,Senior
Golden Retriever,Large,Male,5.0,Unknown,Active,0.0,9.0,2.0,0.0,27.44,Adult
Beagle,Small,Female,4.0,Unknown,Unknown,3.0,13.0,2.0,2.0,11.51,Young Adult
Poodle,Small,Male,12.0,Spayed,Very Active,4.0,10.0,2.0,1.0,19.5,Senior
Chihuahua,Small,Female,8.0,Neutered,Unknown,1.0,11.0,2.0,1.0,1.84,Senior
Chihuahua,Unknown,Male,4.0,Unknown,Very Active,5.0,9.0,4.0,2.0,2.45,Young Adult
Siberian Husky,Medium,Male,12.0,Neutered,Low,4.0,11.0,3.0,1.0,22.13,Senior
Siberian Husky,Medium,Female,1.0,Unknown,Moderate,2.0,12.0,0.0,1.0,18.6,Puppy
Siberian Husky,Medium,Male,7.0,Unknown,Low,4.0,10.0,1.0,3.0,19.49,Adult
Poodle,Small,Male,1.0,Unknown,Very Active,4.0,13.0,1.0,0.0,22.68,Puppy
Dachshund,Small,Female,12.0,Neutered,Low,4.0,11.0,1.0,0.0,4.43,Senior
Great Dane,Large,Female,6.0,Neutered,Very Active,4.0,10.0,1.0,2.0,73.42,Adult
Bulldog,Medium,Female,5.0,Neutered,Low,2.0,10.0,1.0,2.0,24.01,Adult
Australian Shepherd,Medium,Male,2.0,Spayed,Unknown,2.0,10.0,0.0,1.0,24.99,Young Adult
Bulldog,Medium,Male,13.0,Neutered,Low,1.0,11.0,1.0,3.0,22.3,Senior
Chihuahua,Small,Male,3.0,Neutered,Very Active,4.0,8.0,2.0,1.0,3.69,Young Adult
German Shepherd,Large,Male,12.0,Unknown,Moderate,6.0,11.0,2.0,2.0,36.16,Senior
Great Dane,Large,Female,12.0,Neutered,Moderate,4.0,13.0,3.0,1.0,70.38,Senior
Golden Retriever,Large,Female,4.0,Spayed,Low,2.0,11.0,1.0,1.0,26.31,Young Adult
Chihuahua,Small,Female,2.0,Neutered,Low,4.0,13.0,1.0,1.0,2.52,Young Adult
Dachshund,Small,Male,4.0,Neutered,Very Active,2.0,11.0,2.0,0.0,6.82,Young Adult
Great Dane,Large,Male,2.0,Spayed,Active,4.0,10.0,2.0,0.0,48.72,Young Adult
Dachshund,Small,Female,1.0,Unknown,Moderate,1.0,13.0,2.0,1.0,7.03,Puppy
Australian Shepherd,Medium,Male,2.0,Neutered,Moderate,6.0,11.0,1.0,0.0,27.67,Young Adult
Rottweiler,Large,Female,3.0,Spayed,Very Active,3.0,12.0,2.0,0.0,40.21,Young Adult
Doberman,Large,Male,1.0,Unknown,Very Active,3.0,12.0,0.0,1.0,28.86,Puppy
Australian Shepherd,Medium,Female,6.0,Neutered,Low,4.0,10.0,2.0,3.0,23.13,Adult
Great Dane,Large,Female,13.0,Spayed,Moderate,3.0,10.0,4.0,0.0,62.69,Senior
Beagle,Small,Female,7.0,Unknown,Moderate,5.0,11.0,1.0,1.0,14.23,Adult
Golden Retriever,Large,Female,10.0,Unknown,Active,3.0,12.0,2.0,1.0,30.16,Senior
Rottweiler,Large,Female,7.0,Neutered,Unknown,4.0,9.0,2.0,3.0,42.11,Adult
Labrador Retriever,Large,Female,5.0,Spayed,Active,2.0,8.0,2.0,4.0,25.41,Adult
Siberian Husky,Medium,Female,13.0,Neutered,Active,3.0,12.0,2.0,2.0,18.42,Senior
Doberman,Large,Female,12.0,Neutered,Low,3.0,12.0,2.0,4.0,36.26,Senior
Yorkshire Terrier,Small,Female,4.0,Neutered,Very Active,4.0,12.0,1.0,1.0,3.24,Young Adult
Great Dane,Large,Male,11.0,Neutered,Very Active,1.0,11.0,1.0,1.0,47.1,Senior
Bulldog,Medium,Female,7.0,Spayed,Active,2.0,10.0,3.0,1.0,24.46,Adult
Yorkshire Terrier,Small,Male,2.0,Spayed,Moderate,2.0,11.0,3.0,1.0,2.72,Young Adult
Rottweiler,Large,Male,6.0,Spayed,Active,2.0,12.0,2.0,3.0,59.99,Adult
Dachshund,Small,Female,9.0,Spayed,Active,5.0,11.0,0.0,0.0,4.97,Senior
Yorkshire Terrier,Small,Male,6.0,Spayed,Moderate,3.0,13.0,2.0,2.0,3.92,Adult
Rottweiler,Large,Female,7.0,Spayed,Low,3.0,8.0,0.0,0.0,52.96,Adult
Australian Shepherd,Medium,Male,1.0,Spayed,Very Active,3.0,10.0,1.0,1.0,21.77,Puppy
Yorkshire Terrier,Small,Female,4.0,Neutered,Very Active,5.0,13.0,4.0,3.0,4.66,Young Adult
Labrador Retriever,Large,Female,4.0,Unknown,Unknown,4.0,12.0,2.0,2.0,26.76,Young Adult
Chihuahua,Small,Male,7.0,Neutered,Active,0.0,11.0,1.0,2.0,3.19,Adult
Labrador Retriever,Large,Male,3.0,Neutered,Active,3.0,10.0,1.0,1.0,32.44,Young Adult
Labrador Retriever,Large,Male,11.0,Unknown,Active,4.0,10.0,1.0,1.0,34.83,Senior
Rottweiler,Large,Male,2.0,Spayed,Active,4.0,12.0,2.0,2.0,47.04,Young Adult
Yorkshire Terrier,Small,Female,11.0,Unknown,Low,3.0,9.0,2.0,1.0,4.01,Senior
Unknown,Large,Female,8.0,Unknown,Moderate,3.0,9.0,0.0,3.0,24.49,Senior
Dachshund,Small,Female,11.0,Neutered,Very Active,3.0,11.0,2.0,3.0,8.56,Senior
German Shepherd,Large,Female,12.0,Neutered,Active,1.0,12.0,2.0,2.0,24.62,Senior
Australian Shepherd,Medium,Female,3.0,Neutered,Moderate,0.0,11.0,0.0,1.0,19.96,Young Adult
Bulldog,Medium,Male,2.0,Unknown,Unknown,3.0,10.0,2.0,3.0,24.56,Young Adult
Australian Shepherd,Medium,Female,13.0,Spayed,Active,3.0,12.0,0.0,0.0,23.19,Senior
Bulldog,Medium,Female,3.0,Spayed,Moderate,6.0,9.0,2.0,2.0,18.13,Young Adult
Golden Retriever,Large,Female,6.0,Neutered,Low,4.0,11.0,3.0,1.0,26.03,Adult
Siberian Husky,Medium,Female,5.0,Neutered,Active,2.0,10.0,2.0,2.0,24.95,Adult
Australian Shepherd,Medium,Female,4.0,Spayed,Very Active,3.0,11.0,2.0,0.0,24.95,Young Adult
Australian Shepherd,Medium,Male,8.0,Spayed,Low,4.0,10.0,1.0,1.0,30.15,Senior
Poodle,Small,Female,4.0,Unknown,Active,3.0,10.0,2.0,0.0,24.95,Young Adult
Labrador Retriever,Large,Female,9.0,Neutered,Very Active,3.0,10.0,2.0,3.0,27.22,Senior
Boxer,Medium,Male,4.0,Neutered,Moderate,2.0,9.0,2.0,2.0,34.57,Young Adult
German Shepherd,Large,Female,9.0,Neutered,Very Active,0.0,11.0,2.0,2.0,32.66,Senior
Rottweiler,Large,Female,1.0,Spayed,Active,1.0,11.0,2.0,0.0,40.39,Puppy
Australian Shepherd,Medium,Male,9.0,Unknown,Very Active,1.0,10.0,2.0,0.0,28.12,Senior
Beagle,Small,Male,9.0,Neutered,Unknown,1.0,11.0,1.0,1.0,10.69,Senior
Poodle,Small,Male,10.0,Spayed,Very Active,5.0,13.0,3.0,4.0,19.5,Senior
Labrador Retriever,Large,Male,9.0,Unknown,Active,2.0,10.0,2.0,2.0,28.17,Senior
Bulldog,Medium,Male,8.0,Spayed,Very Active,3.0,10.0,3.0,1.0,24.49,Senior
Siberian Husky,Medium,Unknown,2.0,Unknown,Very Active,7.0,10.0,0.0,1.0,22.68,Young Adult
Bulldog,Medium,Male,8.0,Unknown,Very Active,0.0,13.0,1.0,2.0,22.68,Senior
Great Dane,Large,Male,8.0,Spayed,Active,3.0,12.0,2.0,2.0,65.58,Senior
Chihuahua,Small,Male,3.0,Unknown,Low,0.0,11.0,1.0,1.0,1.14,Young Adult
Siberian Husky,Medium,Male,8.0,Spayed,Low,6.0,10.0,1.0,2.0,23.76,Senior
German Shepherd,Large,Female,1.0,Unknown,Low,2.0,10.0,2.0,3.0,34.93,Puppy
Golden Retriever,Large,Male,10.0,Neutered,Unknown,1.0,9.0,3.0,4.0,25.17,Senior
Doberman,Large,Male,4.0,Spayed,Moderate,4.0,12.0,2.0,2.0,32.21,Young Adult
Australian Shepherd,Medium,Male,8.0,Spayed,Low,0.0,9.0,0.0,2.0,29.03,Senior
Dachshund,Small,Male,2.0,Spayed,Moderate,2.0,13.0,1.0,2.0,7.87,Young Adult
Poodle,Small,Female,11.0,Spayed,Very Active,1.0,10.0,3.0,3.0,11.34,Senior
Golden Retriever,Large,Female,2.0,Neutered,Moderate,4.0,11.0,2.0,1.0,32.47,Young Adult
Chihuahua,Small,Male,1.0,Neutered,Unknown,3.0,8.0,4.0,2.0,3.3,Puppy
Bulldog,Medium,Male,7.0,Neutered,Active,2.0,11.0,1.0,0.0,19.39,Adult
German Shepherd,Large,Male,7.0,Unknown,Moderate,2.0,10.0,2.0,1.0,28.42,Adult
Australian Shepherd,Medium,Female,3.0,Neutered,Low,1.0,9.0,3.0,2.0,24.95,Young Adult
Chihuahua,Small,Female,3.0,Neutered,Low,3.0,11.0,2.0,2.0,3.35,Young Adult
Bulldog,Medium,Female,6.0,Neutered,Moderate,0.0,13.0,1.0,1.0,21.32,Adult
Australian Shepherd,Medium,Male,6.0,Neutered,Active,5.0,11.0,0.0,0.0,27.22,Adult
Yorkshire Terrier,Small,Male,5.0,Neutered,Unknown,1.0,11.0,2.0,0.0,4.18,Adult
Labrador Retriever,Large,Female,4.0,Neutered,Very Active,4.0,11.0,2.0,1.0,33.83,Young Adult
Boxer,Medium,Male,6.0,Unknown,Active,3.0,10.0,0.0,1.0,32.13,Adult
Labrador Retriever,Large,Male,8.0,Spayed,Low,1.0,12.0,3.0,2.0,26.31,Senior
Doberman,Large,Male,2.0,Neutered,Active,3.0,10.0,2.0,0.0,29.03,Young Adult
Beagle,Small,Male,5.0,Unknown,Moderate,2.0,12.0,1.0,1.0,15.03,Adult
Great Dane,Large,Female,4.0,Unknown,Moderate,2.0,12.0,2.0,1.0,51.35,Young Adult
Doberman,Large,Unknown,4.0,Spayed,Low,2.0,11.0,1.0,2.0,38.15,Young Adult
Dachshund,Small,Female,7.0,Spayed,Very Active,3.0,11.0,2.0,1.0,4.24,Adult
German Shepherd,Large,Male,3.0,Spayed,Moderate,3.0,13.0,4.0,0.0,25.85,Young Adult
Labrador Retriever,Large,Female,13.0,Spayed,Low,5.0,10.0,2.0,3.0,31.2,Senior
Boxer,Medium,Male,13.0,Neutered,Low,3.0,12.0,0.0,1.0,31.11,Senior
Golden Retriever,Large,Male,3.0,Spayed,Low,2.0,13.0,1.0,2.0,28.59,Young Adult
Doberman,Large,Male,12.0,Neutered,Moderate,3.0,8.0,2.0,2.0,29.03,Senior
Boxer,Medium,Female,11.0,Spayed,Active,0.0,10.0,2.0,3.0,29.94,Senior
Great Dane,Large,Male,5.0,Neutered,Active,5.0,13.0,1.0,3.0,81.33,Adult
Chihuahua,Small,Female,12.0,Spayed,Active,4.0,12.0,1.0,2.0,1.79,Senior
German Shepherd,Large,Male,4.0,Unknown,Low,3.0,11.0,2.0,3.0,22.68,Young Adult
Bulldog,Medium,Male,2.0,Spayed,Low,3.0,12.0,2.0,3.0,22.73,Young Adult
Bulldog,Medium,Male,4.0,Neutered,Active,5.0,10.0,2.0,2.0,24.92,Young Adult
German Shepherd,Large,Male,3.0,Neutered,Moderate,2.0,12.0,2.0,1.0,22.23,Young Adult
Rottweiler,Large,Male,12.0,Unknown,Very Active,0.0,10.0,1.0,1.0,59.27,Senior
Poodle,Small,Female,10.0,Spayed,Very Active,1.0,10.0,2.0,0.0,26.31,Senior
Chihuahua,Small,Female,4.0,Neutered,Low,4.0,11.0,2.0,3.0,1.53,Young Adult
Australian Shepherd,Medium,Male,11.0,Neutered,Very Active,3.0,12.0,2.0,2.0,27.22,Senior
Great Dane,Large,Female,7.0,Spayed,Low,3.0,8.0,1.0,1.0,58.18,Adult
Rottweiler,Large,Male,6.0,Unknown,Active,3.0,12.0,2.0,1.0,35.06,Adult
