Breed,Breed Size,Sex,Age,Weight (lbs),Spay/Neuter Status,Daily Activity Level,Daily Walk Distance (miles),Other Pets in Household,Seizures,Hours of Sleep,Play Time (hrs),Owner Activity Level,Annual Vet Visits,Average Temperature (F)
Poodle,Small,Male,3.0,56.0,Spayed,Very Active,3.0,Yes,No,10.0,1.0,Low,0.0,87.0
Beagle,Small,Male,8.0,25.0,Spayed,Moderate,3.0,No,No,11.0,2.0,Moderate,1.0,69.0
Beagle,Small,Male,12.0,25.0,Neutered,Active,4.0,No,No,11.0,1.0,Moderate,1.0,55.0
Australian Shepherd,Small,Male,8.0,47.0,Spayed,Very Active,0.0,No,No,11.0,3.0,Very Active,3.0,66.0
Dachshund,Small,Male,1.0,18.8,Spayed,Active,2.0,No,No,12.0,1.0,Very Active,4.0,37.0
Dachshund,Small,Male,4.0,15.1,Spayed,Low,2.0,No,No,10.0,0.0,Very Active,1.0,72.0
Poodle,Small,Male,9.0,49.0,Spayed,Active,2.0,No,No,10.0,0.0,Active,1.0,78.0
Beagle,Small,Female,12.0,21.6,Spayed,Moderate,3.0,No,No,13.0,3.0,Active,1.0,66.0
Poodle,Small,Male,12.0,45.0,Spayed,Active,6.0,Yes,No,13.0,1.0,Low,0.0,44.0
Poodle,Small,Male,8.0,50.0,Spayed,Moderate,2.0,No,No,10.0,2.0,Active,4.0,58.0
Yorkshire Terrier,Small,Male,10.0,5.3,Spayed,Active,0.0,No,No,13.0,1.0,Low,2.0,72.0
Yorkshire Terrier,Small,Female,8.0,7.0,Spayed,Active,3.0,Yes,No,10.0,3.0,Active,0.0,63.0
Yorkshire Terrier,Small,Male,10.0,6.7,Neutered,Very Active,2.0,Yes,No,10.0,2.0,Very Active,2.0,64.0
Poodle,Small,Female,6.0,36.3,Spayed,Very Active,5.0,Yes,No,11.0,2.0,Low,4.0,40.0
Yorkshire Terrier,Small,Female,2.0,4.4,Spayed,Very Active,1.0,Yes,No,12.0,1.0,Very Active,2.0,58.0
Beagle,Small,Male,5.0,31.4,Spayed,Active,2.0,Yes,No,11.0,1.0,Low,0.0,71.0
Poodle,Small,Male,12.0,47.0,Spayed,Moderate,2.0,Yes,No,11.0,1.0,Moderate,3.0,44.0
Dachshund,Small,Male,11.0,19.0,Spayed,Active,1.0,No,No,11.0,1.0,Very Active,1.0,76.0
Dachshund,Small,Female,2.0,16.6,Neutered,Low,3.0,Yes,No,10.0,1.0,Very Active,2.0,43.0
Chihuahua,Small,Female,1.0,2.4,Spayed,Very Active,2.0,Yes,No,11.0,4.0,Moderate,1.0,59.0
Poodle,Small,Female,3.0,65.0,Spayed,Active,2.0,No,No,12.0,0.0,Very Active,1.0,48.0
Poodle,Small,Male,4.0,37.0,Spayed,Active,0.0,No,No,12.0,1.0,Very Active,2.0,61.0
Poodle,Small,Male,5.0,37.0,Spayed,Very Active,4.0,Yes,No,12.0,2.0,Moderate,0.0,85.0
Chihuahua,Small,Female,6.0,4.8,Neutered,Active,2.0,No,No,12.0,2.0,Very Active,1.0,42.0
Chihuahua,Small,Female,13.0,6.0,Spayed,Active,4.0,No,No,10.0,2.0,Low,1.0,41.0
Chihuahua,Small,Female,2.0,6.3,Spayed,Active,6.0,No,No,11.0,2.0,Very Active,1.0,80.0
Dachshund,Small,Male,8.0,12.1,Spayed,Very Active,1.0,Yes,No,10.0,1.0,Low,2.0,92.0
Chihuahua,Small,Female,8.0,2.8,Neutered,Very Active,2.0,Yes,No,12.0,0.0,Moderate,1.0,64.0
Poodle,Small,Female,7.0,50.0,Neutered,Active,5.0,No,No,10.0,0.0,Very Active,1.0,62.0
Beagle,Small,Female,4.0,33.9,Neutered,Low,2.0,No,No,12.0,1.0,Active,2.0,60.0
Beagle,Small,Male,6.0,21.9,Spayed,Active,4.0,No,No,10.0,2.0,Very Active,1.0,62.0
Dachshund,Small,Female,2.0,12.8,Neutered,Active,3.0,Yes,No,11.0,2.0,Very Active,0.0,52.0
Yorkshire Terrier,Small,Male,5.0,8.3,Neutered,Active,4.0,No,No,10.0,1.0,Very Active,2.0,62.0
Dachshund,Small,Female,5.0,9.8,Spayed,Active,3.0,No,No,9.0,2.0,Very Active,1.0,30.0
Yorkshire Terrier,Small,Male,12.0,8.8,Spayed,Moderate,0.0,No,No,12.0,1.0,Active,0.0,48.0
Chihuahua,Small,Female,6.0,6.9,Spayed,Very Active,4.0,Yes,No,8.0,1.0,Active,2.0,80.0
Poodle,Small,Male,3.0,37.0,Neutered,Active,1.0,No,Yes,12.0,3.0,Very Active,0.0,74.0
Beagle,Small,Male,12.0,26.0,Neutered,Active,4.0,Yes,No,13.0,0.0,Very Active,0.0,81.0
Chihuahua,Small,Male,8.0,6.0,Spayed,Very Active,2.0,Yes,No,11.0,1.0,Very Active,3.0,88.0
Dachshund,Small,Female,12.0,19.8,Neutered,Low,1.0,Yes,No,12.0,3.0,Very Active,2.0,62.0
Dachshund,Small,Female,12.0,19.2,Spayed,Low,4.0,Yes,No,14.0,0.0,Low,1.0,64.0
Poodle,Small,Female,4.0,46.0,Neutered,Low,3.0,Yes,No,11.0,1.0,Very Active,3.0,46.0
Poodle,Small,Male,13.0,45.0,Spayed,Low,2.0,Yes,No,12.0,0.0,Very Active,3.0,76.0
Yorkshire Terrier,Small,Male,4.0,8.6,Spayed,Very Active,3.0,Yes,No,11.0,3.0,Very Active,1.0,50.0
Beagle,Small,Male,10.0,20.3,Neutered,Low,2.0,No,No,13.0,3.0,Active,2.0,50.0
Beagle,Small,Male,7.0,29.2,Spayed,Low,2.0,Yes,No,10.0,1.0,Active,4.0,73.0
Chihuahua,Small,Female,1.0,5.8,Spayed,Active,3.0,No,No,12.0,1.0,Active,1.0,61.0
Chihuahua,Small,Male,7.0,4.2,Spayed,Active,5.0,No,Yes,12.0,0.0,Very Active,2.0,53.0
Chihuahua,Small,Male,8.0,4.9,Spayed,Active,3.0,No,No,12.0,0.0,Very Active,2.0,44.0
Dachshund,Small,Male,4.0,14.9,Neutered,Active,1.0,No,No,12.0,0.0,Moderate,2.0,40.0
Beagle,Small,Female,3.0,33.8,Spayed,Active,2.0,No,No,12.0,1.0,Very Active,2.0,36.0
Chihuahua,Small,Female,5.0,2.4,Spayed,Moderate,2.0,Yes,No,13.0,2.0,Active,1.0,51.0
Dachshund,Small,Male,3.0,16.8,Neutered,Active,2.0,Yes,No,11.0,2.0,Active,1.0,54.0
Dachshund,Small,Male,13.0,12.1,Neutered,Moderate,5.0,Yes,No,13.0,1.0,Active,3.0,81.0
Dachshund,Small,Male,1.0,15.1,Neutered,Active,3.0,No,No,11.0,0.0,Low,0.0,65.0
Poodle,Small,Male,9.0,28.0,Spayed,Active,3.0,No,No,10.0,1.0,Very Active,3.0,69.0
Beagle,Small,Male,11.0,30.7,Spayed,Active,3.0,No,No,12.0,2.0,Active,1.0,67.0
Chihuahua,Small,Female,12.0,5.3,Spayed,Low,2.0,No,No,11.0,1.0,Very Active,1.0,84.0
Yorkshire Terrier,Small,Female,6.0,7.3,Spayed,Very Active,1.0,No,No,11.0,1.0,Low,1.0,80.0
Chihuahua,Small,Male,4.0,7.9,Neutered,Very Active,3.0,No,Yes,12.0,3.0,Very Active,1.0,48.0
Poodle,Small,Female,5.0,68.1,Neutered,Active,1.0,Yes,No,11.0,1.0,Active,4.0,64.0
Poodle,Small,Male,5.0,49.0,Spayed,Moderate,2.0,Yes,No,11.0,0.0,Very Active,4.0,69.0
Beagle,Small,Male,8.0,33.8,Neutered,Active,3.0,No,No,10.0,0.0,Very Active,2.0,65.0
Poodle,Small,Male,10.0,38.0,Neutered,Low,1.0,No,No,10.0,2.0,Very Active,4.0,77.0
Beagle,Small,Male,6.0,32.3,Spayed,Active,4.0,Yes,No,11.0,1.0,Active,1.0,79.0
Yorkshire Terrier,Small,Female,6.0,7.7,Neutered,Active,3.0,Yes,No,9.0,1.0,Low,2.0,33.0
Dachshund,Small,Male,9.0,12.1,Neutered,Active,6.0,Yes,No,10.0,3.0,Very Active,4.0,60.0
Dachshund,Small,Male,13.0,9.4,Neutered,Moderate,1.0,Yes,No,10.0,0.0,Moderate,1.0,58.0
Poodle,Small,Female,6.0,45.5,Spayed,Active,3.0,Yes,No,13.0,3.0,Active,2.0,55.0
Poodle,Small,Female,5.0,49.0,Spayed,Active,5.0,Yes,No,12.0,2.0,Very Active,1.0,81.0
Chihuahua,Small,Male,6.0,3.4,Spayed,Moderate,2.0,No,No,11.0,3.0,Moderate,1.0,83.0
Yorkshire Terrier,Small,Female,10.0,8.2,Spayed,Active,2.0,Yes,No,12.0,2.0,Moderate,2.0,45.0
Yorkshire Terrier,Small,Male,9.0,9.4,Neutered,Active,2.0,Yes,No,12.0,1.0,Very Active,2.0,53.0
Dachshund,Small,Female,1.0,15.6,Neutered,Very Active,2.0,Yes,No,13.0,3.0,Very Active,0.0,73.0
Beagle,Small,Male,13.0,27.1,Neutered,Active,4.0,No,No,12.0,0.0,Very Active,2.0,53.0
Poodle,Small,Male,6.0,40.0,Spayed,Low,3.0,Yes,No,13.0,0.0,Low,1.0,39.0
Beagle,Small,Female,5.0,20.1,Spayed,Moderate,2.0,No,No,14.0,0.0,Active,3.0,61.0
Yorkshire Terrier,Small,Male,10.0,9.3,Spayed,Active,2.0,Yes,No,11.0,4.0,Very Active,0.0,63.0
Beagle,Small,Male,5.0,21.2,Spayed,Very Active,1.0,No,No,10.0,0.0,Active,0.0,56.0
Dachshund,Small,Female,8.0,18.7,Neutered,Very Active,4.0,No,No,11.0,1.0,Very Active,2.0,75.0
Poodle,Small,Male,7.0,32.0,Spayed,Active,1.0,No,No,11.0,0.0,Active,2.0,63.0
Dachshund,Small,Male,9.0,15.4,Spayed,Active,1.0,Yes,No,14.0,3.0,Active,0.0,60.0
Chihuahua,Small,Female,6.0,7.5,Spayed,Very Active,3.0,Yes,No,9.0,1.0,Low,4.0,58.0
Chihuahua,Small,Male,13.0,6.7,Spayed,Low,2.0,Yes,No,10.0,2.0,Active,1.0,52.0
Yorkshire Terrier,Small,Female,12.0,9.8,Spayed,Low,2.0,No,No,9.0,2.0,Active,1.0,46.0
Poodle,Small,Female,8.0,58.0,Neutered,Active,5.0,No,No,9.0,0.0,Moderate,1.0,56.0
Beagle,Small,Female,2.0,32.0,Neutered,Active,1.0,Yes,No,13.0,1.0,Active,0.0,52.0
Dachshund,Small,Female,12.0,9.4,Neutered,Very Active,3.0,No,No,10.0,2.0,Low,2.0,65.0
Beagle,Small,Male,5.0,25.2,Neutered,Very Active,3.0,Yes,No,9.0,0.0,Very Active,2.0,74.0
Poodle,Small,Male,3.0,38.0,Spayed,Low,2.0,Yes,No,12.0,2.0,Moderate,2.0,41.0
Dachshund,Small,Female,5.0,9.9,Spayed,Active,3.0,Yes,No,12.0,1.0,Active,3.0,58.0
Yorkshire Terrier,Small,Female,5.0,5.1,Spayed,Low,1.0,No,No,10.0,0.0,Low,1.0,69.0
Chihuahua,Small,Male,9.0,5.2,Spayed,Very Active,2.0,Yes,No,10.0,1.0,Low,0.0,43.0
Poodle,Small,Male,12.0,31.0,Spayed,Low,1.0,No,No,14.0,0.0,Low,3.0,53.0
Dachshund,Small,Male,7.0,16.6,Neutered,Active,3.0,Yes,No,14.0,1.0,Active,3.0,69.0
Beagle,Small,Female,1.0,22.7,Neutered,Low,3.0,Yes,No,11.0,3.0,Moderate,1.0,67.0
Yorkshire Terrier,Small,Male,6.0,9.1,Spayed,Active,2.0,Yes,No,11.0,1.0,Very Active,1.0,85.0
Poodle,Small,Male,9.0,16.1,Neutered,Active,3.0,Yes,Yes,11.0,1.0,Very Active,3.0,66.0
Yorkshire Terrier,Small,Female,3.0,4.9,Spayed,Very Active,6.0,No,No,11.0,3.0,Low,3.0,68.0
Dachshund,Small,Male,7.0,12.5,Spayed,Active,3.0,Yes,No,9.0,0.0,Active,0.0,46.0
Poodle,Small,Female,1.0,69.0,Spayed,Very Active,4.0,Yes,No,9.0,1.0,Low,1.0,76.0
Dachshund,Small,Female,4.0,11.0,Spayed,Active,3.0,Yes,No,11.0,2.0,Very Active,3.0,59.0
Dachshund,Small,Male,7.0,13.2,Neutered,Low,4.0,No,No,10.0,2.0,Very Active,3.0,63.0
Poodle,Small,Male,10.0,33.0,Neutered,Very Active,4.0,No,No,10.0,2.0,Moderate,3.0,54.0
Chihuahua,Small,Male,1.0,7.7,Spayed,Very Active,3.0,Yes,No,11.0,1.0,Very Active,3.0,85.0
Poodle,Small,Male,3.0,62.0,Spayed,Moderate,3.0,No,No,12.0,0.0,Very Active,2.0,58.0
Yorkshire Terrier,Small,Female,10.0,5.7,Spayed,Low,5.0,No,No,10.0,2.0,Moderate,1.0,69.0
Dachshund,Small,Male,2.0,15.3,Spayed,Active,4.0,Yes,No,11.0,1.0,Low,1.0,54.0
Yorkshire Terrier,Small,Female,5.0,4.5,Spayed,Very Active,3.0,Yes,No,10.0,3.0,Very Active,3.0,62.0
Dachshund,Small,Male,4.0,10.9,Neutered,Moderate,5.0,Yes,No,11.0,3.0,Low,1.0,66.0
Chihuahua,Small,Male,1.0,3.5,Neutered,Moderate,0.0,Yes,No,12.0,4.0,Active,1.0,73.0
Yorkshire Terrier,Small,Male,2.0,6.7,Neutered,Active,6.0,Yes,No,9.0,3.0,Active,2.0,84.0
Beagle,Small,Female,6.0,27.7,Spayed,Active,0.0,Yes,No,8.0,2.0,Very Active,0.0,55.0
Dachshund,Small,Male,8.0,19.6,Spayed,Low,3.0,No,No,11.0,2.0,Very Active,3.0,63.0
Beagle,Small,Female,11.0,26.4,Spayed,Low,2.0,Yes,No,13.0,0.0,Low,0.0,76.0
Dachshund,Small,Male,4.0,9.9,Spayed,Active,0.0,Yes,No,13.0,1.0,Low,4.0,65.0
Poodle,Small,Female,6.0,64.0,Neutered,Very Active,0.0,No,Yes,10.0,0.0,Moderate,2.0,62.0
Yorkshire Terrier,Small,Male,9.0,9.5,Neutered,Active,3.0,Yes,No,11.0,2.0,Very Active,1.0,41.0
Poodle,Small,Male,3.0,54.0,Spayed,Active,1.0,Yes,No,12.0,1.0,Low,1.0,79.0
Dachshund,Small,Male,4.0,12.5,Spayed,Very Active,3.0,No,No,14.0,2.0,Very Active,2.0,82.0
Dachshund,Small,Female,7.0,15.1,Neutered,Very Active,2.0,Yes,No,10.0,3.0,Very Active,1.0,88.0
Dachshund,Small,Female,12.0,13.4,Neutered,Active,4.0,Yes,No,8.0,2.0,Moderate,1.0,33.0
Yorkshire Terrier,Small,Male,12.0,4.1,Spayed,Active,3.0,Yes,Yes,10.0,2.0,Very Active,2.0,59.0
Beagle,Small,Female,6.0,32.0,Spayed,Active,2.0,No,No,11.0,2.0,Low,2.0,84.0
Poodle,Small,Male,3.0,28.0,Neutered,Moderate,0.0,No,No,11.0,2.0,Active,0.0,63.0
Dachshund,Small,Female,7.0,14.1,Spayed,Very Active,2.0,Yes,No,10.0,2.0,Low,1.0,73.0
Dachshund,Small,Male,5.0,19.0,Spayed,Very Active,1.0,No,No,10.0,1.0,Active,1.0,64.0
Poodle,Small,Male,7.0,45.0,Spayed,Very Active,4.0,Yes,No,10.0,0.0,Very Active,1.0,75.0
Dachshund,Small,Male,4.0,16.0,Spayed,Very Active,3.0,Yes,No,11.0,0.0,Active,0.0,69.0
Chihuahua,Small,Female,2.0,2.6,Spayed,Active,2.0,No,No,9.0,1.0,Active,1.0,86.0
Poodle,Small,Female,6.0,47.0,Spayed,Very Active,2.0,No,No,9.0,2.0,Very Active,1.0,46.0
Yorkshire Terrier,Small,Male,6.0,7.0,Spayed,Active,3.0,Yes,No,14.0,3.0,Very Active,2.0,66.0
Dachshund,Small,Female,5.0,13.4,Spayed,Moderate,1.0,Yes,No,11.0,2.0,Moderate,3.0,75.0
Yorkshire Terrier,Small,Male,7.0,6.2,Spayed,Active,2.0,No,No,10.0,0.0,Active,1.0,82.0
Yorkshire Terrier,Small,Female,13.0,8.4,Neutered,Very Active,0.0,No,No,12.0,1.0,Very Active,1.0,95.0
Beagle,Small,Female,10.0,29.6,Spayed,Low,3.0,No,No,11.0,2.0,Very Active,3.0,64.0
Dachshund,Small,Female,2.0,17.7,Neutered,Low,3.0,Yes,No,10.0,3.0,Moderate,3.0,70.0
Dachshund,Small,Male,1.0,17.2,Spayed,Low,3.0,No,No,8.0,2.0,Active,1.0,61.0
Dachshund,Small,Male,10.0,19.0,Neutered,Active,3.0,No,No,14.0,2.0,Moderate,1.0,84.0
Chihuahua,Small,Male,1.0,4.4,Spayed,Very Active,5.0,No,No,9.0,3.0,Very Active,2.0,72.0
Poodle,Small,Male,6.0,66.0,Spayed,Active,3.0,Yes,No,10.0,3.0,Low,1.0,47.0
Yorkshire Terrier,Small,Male,3.0,7.8,Neutered,Active,4.0,Yes,No,11.0,4.0,Very Active,2.0,63.0
Yorkshire Terrier,Small,Female,2.0,4.3,Spayed,Active,4.0,No,No,8.0,2.0,Moderate,1.0,64.0
Chihuahua,Small,Male,7.0,5.4,Spayed,Active,1.0,Yes,No,11.0,2.0,Moderate,2.0,44.0
Yorkshire Terrier,Small,Female,2.0,5.5,Spayed,Active,4.0,No,No,11.0,2.0,Moderate,1.0,45.0
Yorkshire Terrier,Small,Female,12.0,5.4,Neutered,Active,4.0,No,No,10.0,2.0,Low,0.0,82.0
Yorkshire Terrier,Small,Male,10.0,6.1,Neutered,Active,1.0,Yes,No,10.0,2.0,Very Active,1.0,66.0
Dachshund,Small,Male,3.0,16.6,Spayed,Low,3.0,No,No,9.0,2.0,Low,3.0,49.0
Poodle,Small,Female,13.0,36.0,Spayed,Low,3.0,No,No,9.0,1.0,Low,0.0,66.0
Dachshund,Small,Female,5.0,19.1,Spayed,Moderate,2.0,No,No,12.0,2.0,Very Active,0.0,91.0
Beagle,Small,Female,13.0,24.8,Spayed,Active,0.0,No,No,11.0,2.0,Active,0.0,67.0
Yorkshire Terrier,Small,Male,2.0,5.8,Spayed,Low,4.0,No,No,11.0,1.0,Moderate,1.0,63.0
Chihuahua,Small,Female,11.0,5.0,Spayed,Very Active,5.0,Yes,No,11.0,2.0,Very Active,2.0,43.0
Yorkshire Terrier,Small,Male,2.0,7.0,Spayed,Very Active,0.0,Yes,No,10.0,1.0,Active,2.0,64.0
Poodle,Small,Male,1.0,53.0,Neutered,Very Active,0.0,No,Yes,13.0,1.0,Moderate,1.0,81.0
Beagle,Small,Female,11.0,24.8,Spayed,Moderate,3.0,Yes,No,9.0,2.0,Very Active,2.0,47.0
Chihuahua,Small,Male,6.0,5.9,Neutered,Active,2.0,Yes,No,9.0,3.0,Very Active,0.0,66.0
Dachshund,Small,Female,1.0,11.8,Neutered,Active,2.0,Yes,No,11.0,1.0,Very Active,1.0,76.0
Dachshund,Small,Male,7.0,13.3,Spayed,Active,3.0,No,No,11.0,1.0,Very Active,2.0,81.0
Dachshund,Small,Male,13.0,8.8,Neutered,Active,4.0,Yes,No,12.0,2.0,Very Active,1.0,64.0
Yorkshire Terrier,Small,Female,5.0,8.1,Spayed,Moderate,0.0,Yes,No,11.0,3.0,Very Active,0.0,73.0
Yorkshire Terrier,Small,Male,6.0,5.0,Neutered,Active,4.0,Yes,No,14.0,2.0,Active,0.0,53.0
Yorkshire Terrier,Small,Male,5.0,6.2,Neutered,Moderate,4.0,No,No,11.0,2.0,Active,0.0,58.0
Chihuahua,Small,Male,8.0,3.9,Spayed,Very Active,1.0,No,No,11.0,2.0,Moderate,0.0,45.0
Beagle,Small,Female,10.0,28.0,Spayed,Very Active,4.0,No,No,12.0,1.0,Moderate,2.0,82.0
Dachshund,Small,Female,10.0,15.8,Spayed,Low,2.0,Yes,No,9.0,3.0,Low,3.0,73.0
Beagle,Small,Male,6.0,33.6,Spayed,Low,3.0,No,No,11.0,2.0,Very Active,2.0,65.0
Yorkshire Terrier,Small,Female,13.0,9.7,Spayed,Very Active,2.0,No,No,11.0,2.0,Low,2.0,97.0
Yorkshire Terrier,Small,Male,4.0,9.3,Spayed,Low,2.0,Yes,No,11.0,1.0,Very Active,1.0,67.0
Beagle,Small,Female,1.0,33.1,Neutered,Active,1.0,Yes,No,10.0,1.0,Very Active,1.0,39.0
Poodle,Small,Male,11.0,35.0,Neutered,Low,2.0,No,No,11.0,2.0,Active,2.0,48.0
Chihuahua,Small,Female,4.0,7.8,Spayed,Active,2.0,No,No,9.0,1.0,Active,0.0,87.0
Chihuahua,Small,Male,2.0,6.2,Spayed,Active,4.0,No,No,12.0,2.0,Very Active,0.0,74.0
Chihuahua,Small,Male,7.0,3.0,Spayed,Active,2.0,No,No,12.0,0.0,Very Active,3.0,97.0
Poodle,Small,Male,9.0,68.0,Spayed,Moderate,5.0,No,No,12.0,2.0,Very Active,1.0,76.0
Chihuahua,Small,Female,7.0,6.1,Spayed,Very Active,3.0,No,No,12.0,2.0,Very Active,1.0,99.0
Yorkshire Terrier,Small,Female,4.0,8.1,Spayed,Moderate,1.0,Yes,No,10.0,2.0,Very Active,1.0,63.0
Chihuahua,Small,Male,5.0,6.3,Spayed,Very Active,2.0,No,No,9.0,0.0,Very Active,0.0,75.0
Dachshund,Small,Male,10.0,18.6,Neutered,Moderate,2.0,No,No,12.0,2.0,Very Active,1.0,100.0
Yorkshire Terrier,Small,Male,5.0,6.5,Neutered,Active,1.0,No,Yes,12.0,1.0,Moderate,1.0,100.0
Dachshund,Small,Female,2.0,8.1,Neutered,Very Active,4.0,Yes,No,12.0,0.0,Very Active,2.0,74.0
Yorkshire Terrier,Small,Female,7.0,4.3,Neutered,Low,0.0,No,No,14.0,3.0,Low,2.0,51.0
Beagle,Small,Male,9.0,34.8,Neutered,Low,4.0,Yes,No,10.0,2.0,Very Active,1.0,64.0
Poodle,Small,Female,5.0,46.0,Neutered,Low,3.0,Yes,No,11.0,1.0,Very Active,1.0,61.0
Poodle,Small,Male,6.0,50.0,Spayed,Active,3.0,Yes,No,10.0,2.0,Active,2.0,75.0
Beagle,Small,Female,6.0,28.0,Neutered,Active,3.0,No,No,8.0,3.0,Moderate,1.0,52.0
Dachshund,Small,Male,4.0,12.1,Spayed,Very Active,3.0,Yes,No,9.0,3.0,Very Active,2.0,75.0
Australian Shepherd,Small,Male,7.0,42.0,Spayed,Moderate,4.0,No,No,9.0,1.0,Active,1.0,65.0
Dachshund,Small,Female,3.0,9.8,Spayed,Very Active,3.0,Yes,No,12.0,0.0,Very Active,0.0,57.0
Yorkshire Terrier,Small,Male,11.0,7.7,Spayed,Moderate,2.0,Yes,No,12.0,1.0,Low,1.0,37.0
Poodle,Small,Female,5.0,28.0,Neutered,Active,4.0,No,No,11.0,1.0,Active,0.0,70.0
Australian Shepherd,Small,Male,11.0,42.0,Spayed,Active,3.0,No,No,11.0,2.0,Moderate,3.0,91.0
Beagle,Small,Female,4.0,27.5,Spayed,Moderate,2.0,No,No,10.0,0.0,Very Active,0.0,73.0
Poodle,Small,Female,2.0,53.0,Spayed,Active,3.0,Yes,No,10.0,1.0,Very Active,4.0,96.0
Yorkshire Terrier,Small,Male,9.0,8.9,Neutered,Very Active,3.0,No,No,13.0,2.0,Moderate,1.0,63.0
Yorkshire Terrier,Small,Female,8.0,7.0,Spayed,Active,3.0,Yes,No,14.0,0.0,Very Active,2.0,60.0
Poodle,Small,Female,9.0,44.0,Spayed,Very Active,4.0,No,No,12.0,2.0,Moderate,3.0,64.0
Beagle,Small,Male,6.0,23.0,Spayed,Low,4.0,Yes,No,12.0,1.0,Moderate,0.0,53.0
Australian Shepherd,Small,Male,8.0,49.9,Neutered,Active,3.0,Yes,No,11.0,2.0,Moderate,2.0,84.0
Yorkshire Terrier,Small,Female,1.0,5.6,Spayed,Active,2.0,Yes,No,10.0,2.0,Very Active,1.0,86.0
Chihuahua,Small,Female,4.0,7.6,Neutered,Low,4.0,No,No,9.0,2.0,Moderate,0.0,42.0
Beagle,Small,Female,1.0,33.0,Neutered,Very Active,1.0,Yes,No,9.0,3.0,Very Active,1.0,53.0
Beagle,Small,Female,2.0,21.8,Spayed,Moderate,3.0,No,No,10.0,1.0,Active,1.0,53.0
Australian Shepherd,Small,Female,13.0,64.7,Spayed,Moderate,2.0,No,No,10.0,1.0,Moderate,0.0,83.0
Beagle,Small,Female,6.0,33.0,Neutered,Very Active,2.0,No,No,11.0,2.0,Very Active,3.0,59.0
Dachshund,Small,Male,1.0,16.1,Spayed,Very Active,2.0,No,No,12.0,2.0,Moderate,3.0,64.0
Dachshund,Small,Male,4.0,14.5,Spayed,Very Active,3.0,No,No,10.0,4.0,Low,0.0,62.0
Dachshund,Small,Male,4.0,17.3,Spayed,Active,2.0,Yes,No,12.0,1.0,Active,1.0,58.0
Beagle,Small,Female,5.0,29.3,Neutered,Moderate,3.0,Yes,No,12.0,3.0,Low,4.0,85.0
Beagle,Small,Female,13.0,32.7,Spayed,Moderate,1.0,Yes,No,10.0,0.0,Moderate,1.0,58.0
Beagle,Small,Female,9.0,22.5,Neutered,Active,2.0,Yes,No,12.0,1.0,Very Active,3.0,58.0
Yorkshire Terrier,Small,Male,2.0,4.1,Neutered,Low,3.0,No,No,11.0,2.0,Moderate,2.0,72.0
Dachshund,Small,Female,1.0,15.8,Neutered,Very Active,1.0,Yes,No,10.0,2.0,Very Active,2.0,77.0
Beagle,Small,Male,8.0,27.5,Neutered,Active,3.0,No,No,9.0,0.0,Very Active,3.0,67.0
Yorkshire Terrier,Small,Female,7.0,7.9,Neutered,Active,3.0,Yes,No,14.0,2.0,Very Active,2.0,64.0
Chihuahua,Small,Male,7.0,4.9,Spayed,Active,3.0,Yes,No,11.0,1.0,Moderate,1.0,64.0
Beagle,Small,Male,4.0,21.0,Neutered,Active,2.0,No,No,11.0,3.0,Moderate,4.0,82.0
Yorkshire Terrier,Small,Male,3.0,7.1,Neutered,Moderate,4.0,Yes,No,12.0,1.0,Very Active,1.0,64.0
Poodle,Small,Female,3.0,64.0,Neutered,Active,1.0,Yes,No,14.0,2.0,Very Active,1.0,70.0
Poodle,Small,Female,8.0,59.0,Spayed,Active,2.0,No,No,12.0,2.0,Very Active,1.0,33.0
Chihuahua,Small,Male,4.0,6.2,Spayed,Active,4.0,No,No,13.0,3.0,Very Active,1.0,67.0
Poodle,Small,Female,2.0,58.0,Neutered,Very Active,2.0,No,No,14.0,0.0,Very Active,1.0,53.0
Dachshund,Small,Male,8.0,12.1,Spayed,Active,4.0,Yes,No,11.0,3.0,Very Active,2.0,72.0
Australian Shepherd,Small,Female,4.0,51.7,Spayed,Low,5.0,Yes,No,10.0,2.0,Very Active,3.0,73.0
Beagle,Small,Male,6.0,24.3,Neutered,Active,1.0,No,No,10.0,0.0,Very Active,3.0,76.0
Chihuahua,Small,Male,3.0,2.6,Spayed,Very Active,1.0,Yes,No,14.0,3.0,Moderate,2.0,48.0
Beagle,Small,Male,2.0,22.0,Neutered,Moderate,2.0,No,No,12.0,2.0,Low,0.0,67.0
Yorkshire Terrier,Small,Female,10.0,5.9,Spayed,Active,3.0,No,No,10.0,2.0,Moderate,1.0,81.0
Poodle,Small,Female,2.0,47.0,Neutered,Low,3.0,Yes,No,11.0,0.0,Moderate,3.0,56.0
Yorkshire Terrier,Small,Female,2.0,7.5,Spayed,Active,3.0,No,No,11.0,3.0,Very Active,3.0,86.0
Yorkshire Terrier,Small,Male,11.0,4.8,Spayed,Active,3.0,No,No,9.0,2.0,Low,0.0,67.0
Yorkshire Terrier,Small,Male,3.0,6.1,Neutered,Active,4.0,No,No,8.0,1.0,Low,2.0,84.0
Beagle,Small,Male,11.0,21.1,Neutered,Active,1.0,No,No,11.0,1.0,Very Active,3.0,55.0
Chihuahua,Small,Male,2.0,3.8,Neutered,Low,2.0,No,No,13.0,0.0,Moderate,0.0,75.0
Chihuahua,Small,Female,1.0,2.0,Spayed,Moderate,3.0,No,No,12.0,1.0,Very Active,1.0,30.0
