Raca,Idade,peso_kg,porte_animal,Status_Saude,calorias_diarias_RER
Doberman,10.0,35.83,Grande,Sim,1025.14
Golden Retriever,10.0,15.42,Médio,Sim,544.7
Labrador Retriever,9.0,29.03,Grande,Sim,875.45
Chihuahua,12.0,21.32,Médio,Não,694.53
Bulldog,6.0,31.3,Grande,Sim,926.31
Australian Shepherd,9.0,11.34,Médio,Não,432.57
Beagle,11.0,29.03,Grande,Sim,875.45
Golden Retriever,11.0,22.68,Médio,Sim,727.5
SRD (Sem Raça Definida),8.0,30.39,Grande,Sim,906.04
Australian Shepherd,8.0,20.87,Médio,Sim,683.5
Chihuahua,9.0,18.6,Médio,Não,626.95
Rottweiler,7.0,28.12,Grande,Não,854.79
Great Dane,3.0,17.69,Médio,Não,603.8
Yorkshire Terrier,9.0,28.58,Grande,Sim,865.26
German Shepherd,11.0,19.96,Médio,Não,661.03
Labrador Retriever,13.0,23.59,Médio,Sim,749.28
Yorkshire Terrier,13.0,17.24,Médio,Não,592.24
Dachshund,13.0,13.61,Médio,Sim,496.01
Beagle,12.0,28.12,Grande,Sim,854.79
Dachshund,4.0,23.13,Médio,Sim,738.29
Yorkshire Terrier,8.0,24.95,Médio,Não,781.45
Siberian Husky,2.0,15.88,Médio,Sim,556.85
Siberian Husky,1.0,31.3,Grande,Sim,926.31
Golden Retriever,3.0,20.41,Médio,Não,672.17
German Shepherd,3.0,22.68,Médio,Sim,727.5
Golden Retriever,12.0,23.59,Médio,Sim,749.28
Poodle,8.0,11.79,Médio,Sim,445.38
Boxer,6.0,31.3,Grande,Sim,926.31
Doberman,13.0,38.56,Grande,Não,1083.18
Siberian Husky,10.0,12.25,Médio,Sim,458.35
Golden Retriever,9.0,24.04,Médio,Não,759.97
Dachshund,11.0,26.31,Grande,Sim,813.18
Siberian Husky,5.0,26.31,Grande,Sim,813.18
Yorkshire Terrier,10.0,19.05,Médio,Sim,638.29
Beagle,11.0,17.69,Médio,Não,603.8
Chihuahua,13.0,10.89,Médio,Não,419.63
Chihuahua,8.0,29.48,Grande,Não,885.61
Doberman,10.0,25.85,Grande,Não,802.5
Australian Shepherd,11.0,29.94,Grande,Não,895.96
Doberman,5.0,26.76,Grande,Sim,823.59
Dachshund,11.0,19.96,Médio,Não,661.03
Boxer,12.0,20.87,Médio,Sim,683.5
Boxer,5.0,22.68,Médio,Sim,727.5
Poodle,7.0,19.5,Médio,Sim,649.57
Boxer,1.0,26.31,Grande,Sim,813.18
Bulldog,13.0,19.05,Médio,Sim,638.29
Australian Shepherd,8.0,23.59,Médio,Sim,749.28
German Shepherd,3.0,23.59,Médio,Sim,749.28
Labrador Retriever,1.0,33.11,Grande,Não,966.2
Poodle,12.0,44.0,Grande,Sim,1195.88
Rottweiler,2.0,26.31,Grande,Sim,813.18
Yorkshire Terrier,1.0,26.31,Grande,Sim,813.18
Boxer,13.0,22.23,Médio,Não,716.64
Chihuahua,12.0,18.14,Médio,Sim,615.28
Boxer,3.0,22.68,Médio,Sim,727.5
Chihuahua,10.0,14.06,Médio,Sim,508.26
Australian Shepherd,6.0,19.96,Médio,Não,661.03
Rottweiler,3.0,29.94,Grande,Sim,895.96
Yorkshire Terrier,4.0,32.21,Grande,Sim,946.44
Beagle,8.0,22.68,Médio,Não,727.5
Siberian Husky,2.0,19.96,Médio,Sim,661.03
Siberian Husky,3.0,29.03,Grande,Sim,875.45
SRD (Sem Raça Definida),9.0,37.19,Grande,Não,1054.19
Chihuahua,8.0,24.95,Médio,Sim,781.45
Australian Shepherd,7.0,18.14,Médio,Sim,615.28
Dachshund,7.0,18.6,Médio,Sim,626.95
Australian Shepherd,5.0,10.43,Médio,Não,406.27
Beagle,7.0,11.34,Médio,Sim,432.57
Bulldog,6.0,19.5,Médio,Sim,649.57
Golden Retriever,9.0,33.11,Grande,Não,966.2
Poodle,10.0,21.32,Médio,Sim,694.53
German Shepherd,10.0,36.74,Grande,Não,1044.61
Dachshund,2.0,23.59,Médio,Sim,749.28
Rottweiler,2.0,29.94,Grande,Sim,895.96
Bulldog,3.0,14.97,Médio,Sim,532.74
Australian Shepherd,8.0,22.68,Médio,Sim,727.5
Rottweiler,2.0,44.45,Grande,Sim,1205.04
Yorkshire Terrier,9.0,28.58,Grande,Não,865.26
Labrador Retriever,1.0,22.23,Médio,Sim,716.64
Beagle,1.0,14.06,Médio,Sim,508.26
Rottweiler,1.0,22.68,Médio,Não,727.5
Australian Shepherd,13.0,24.95,Médio,Não,781.45
Labrador Retriever,13.0,19.96,Médio,Não,661.03
Boxer,6.0,16.78,Médio,Sim,580.35
Bulldog,12.0,19.05,Médio,Sim,638.29
Yorkshire Terrier,7.0,24.95,Médio,Sim,781.45
Boxer,6.0,14.06,Médio,Não,508.26
Dachshund,7.0,11.34,Médio,Sim,432.57
Labrador Retriever,6.0,32.21,Grande,Sim,946.44
Boxer,11.0,14.97,Médio,Sim,532.74
Beagle,5.0,30.84,Grande,Sim,916.08
Chihuahua,1.0,28.12,Grande,Sim,854.79
Boxer,11.0,9.07,Pequeno,Não,365.85
Labrador Retriever,11.0,31.3,Grande,Não,926.31
Rottweiler,12.0,18.6,Médio,Não,626.95
Great Dane,2.0,28.12,Grande,Sim,854.79
Dachshund,10.0,20.41,Médio,Sim,672.17
Rottweiler,11.0,21.32,Médio,Sim,694.53
German Shepherd,9.0,14.97,Médio,Não,532.74
Bulldog,12.0,24.95,Médio,Não,781.45
Yorkshire Terrier,8.0,14.97,Médio,Sim,532.74
Chihuahua,7.0,26.76,Grande,Sim,823.59
Golden Retriever,5.0,37.65,Grande,Não,1063.95
Yorkshire Terrier,8.0,18.14,Médio,Sim,615.28
Chihuahua,9.0,17.24,Médio,Não,592.24
Boxer,10.0,24.95,Médio,Não,781.45
Australian Shepherd,1.0,19.5,Médio,Sim,649.57
Chihuahua,2.0,26.31,Grande,Sim,813.18
Yorkshire Terrier,11.0,19.05,Médio,Não,638.29
Dachshund,4.0,23.13,Médio,Sim,738.29
Chihuahua,6.0,24.49,Médio,Sim,770.62
Chihuahua,3.0,34.02,Grande,Sim,986.05
Yorkshire Terrier,3.0,33.57,Grande,Sim,976.25
Rottweiler,4.0,27.22,Grande,Sim,834.19
Siberian Husky,5.0,19.05,Médio,Sim,638.29
Bulldog,10.0,16.78,Médio,Não,580.35
Poodle,11.0,30.39,Grande,Não,906.04
Australian Shepherd,1.0,34.47,Grande,Sim,995.82
Yorkshire Terrier,6.0,24.04,Médio,Sim,759.97
Dachshund,1.0,17.69,Médio,Não,603.8
Dachshund,5.0,26.31,Grande,Sim,813.18
Bulldog,8.0,19.96,Médio,Sim,661.03
SRD (Sem Raça Definida),6.0,21.32,Médio,Não,694.53
Doberman,12.0,24.04,Médio,Não,759.97
Golden Retriever,7.0,34.47,Grande,Sim,995.82
Beagle,1.0,24.95,Médio,Sim,781.45
Chihuahua,13.0,23.59,Médio,Não,749.28
Boxer,10.0,31.3,Grande,Sim,926.31
Dachshund,5.0,18.14,Médio,Sim,615.28
German Shepherd,7.0,22.23,Médio,Sim,716.64
Bulldog,8.0,15.42,Médio,Sim,544.7
German Shepherd,2.0,20.41,Médio,Sim,672.17
Poodle,4.0,14.51,Médio,Sim,520.41
Boxer,5.0,21.32,Médio,Sim,694.53
German Shepherd,1.0,29.03,Grande,Sim,875.45
Rottweiler,11.0,34.02,Grande,Sim,986.05
Bulldog,6.0,30.39,Grande,Sim,906.04
Great Dane,13.0,20.41,Médio,Sim,672.17
Golden Retriever,4.0,25.4,Grande,Sim,792.0
German Shepherd,1.0,21.77,Médio,Sim,705.49
Poodle,8.0,35.38,Grande,Sim,1015.47
Great Dane,4.0,25.85,Grande,Sim,802.5
Poodle,10.0,20.41,Médio,Sim,672.17
Rottweiler,9.0,26.31,Grande,Sim,813.18
German Shepherd,9.0,22.68,Médio,Sim,727.5
Bulldog,2.0,30.39,Grande,Não,906.04
Siberian Husky,12.0,26.31,Grande,Não,813.18
Doberman,11.0,19.05,Médio,Não,638.29
Golden Retriever,6.0,24.04,Médio,Sim,759.97
Bulldog,4.0,29.94,Grande,Não,895.96
Boxer,2.0,22.23,Médio,Sim,716.64
German Shepherd,11.0,22.68,Médio,Sim,727.5
Siberian Husky,2.0,24.49,Médio,Sim,770.62
Bulldog,7.0,24.95,Médio,Sim,781.45
Golden Retriever,13.0,33.57,Grande,Não,976.25
Poodle,10.0,24.49,Médio,Sim,770.62
Yorkshire Terrier,2.0,19.05,Médio,Sim,638.29
Chihuahua,3.0,20.41,Médio,Sim,672.17
Chihuahua,8.0,10.43,Médio,Sim,406.27
Australian Shepherd,4.0,25.4,Grande,Sim,792.0
Australian Shepherd,13.0,23.13,Médio,Sim,738.29
Poodle,1.0,33.11,Grande,Sim,966.2
Yorkshire Terrier,2.0,35.38,Grande,Sim,1015.47
Beagle,8.0,16.33,Médio,Sim,568.64
Doberman,9.0,30.84,Grande,Sim,916.08
Australian Shepherd,12.0,29.48,Grande,Sim,885.61
Dachshund,11.0,34.47,Grande,Sim,995.82
Great Dane,10.0,30.39,Grande,Não,906.04
Australian Shepherd,5.0,29.94,Grande,Sim,895.96
Siberian Husky,7.0,19.05,Médio,Sim,638.29
Golden Retriever,1.0,27.67,Grande,Sim,844.51
Poodle,6.0,20.41,Médio,Sim,672.17
Yorkshire Terrier,8.0,9.98,Pequeno,Não,393.05
Chihuahua,8.0,25.85,Grande,Sim,802.5
Great Dane,7.0,28.58,Grande,Sim,865.26
Australian Shepherd,1.0,24.04,Médio,Não,759.97
Dachshund,10.0,24.95,Médio,Não,781.45
Great Dane,4.0,14.06,Médio,Sim,508.26
Doberman,10.0,19.05,Médio,Sim,638.29
Rottweiler,7.0,17.69,Médio,Sim,603.8
Rottweiler,11.0,29.94,Grande,Não,895.96
Boxer,10.0,31.75,Grande,Sim,936.28
Labrador Retriever,2.0,24.04,Médio,Sim,759.97
German Shepherd,3.0,31.75,Grande,Sim,936.28
Chihuahua,1.0,27.22,Grande,Não,834.19
Bulldog,11.0,20.41,Médio,Não,672.17
Doberman,7.0,15.88,Médio,Sim,556.85
Labrador Retriever,4.0,36.74,Grande,Sim,1044.61
Yorkshire Terrier,3.0,28.12,Grande,Sim,854.79
Australian Shepherd,2.0,18.14,Médio,Sim,615.28
Rottweiler,4.0,11.79,Médio,Sim,445.38
Bulldog,12.0,21.32,Médio,Sim,694.53
Yorkshire Terrier,12.0,26.76,Grande,Sim,823.59
SRD (Sem Raça Definida),9.0,18.6,Médio,Não,626.95
Great Dane,8.0,18.6,Médio,Não,626.95
Beagle,9.0,35.83,Grande,Não,1025.14
Labrador Retriever,13.0,12.7,Médio,Não,470.92
Dachshund,11.0,24.95,Médio,Não,781.45
Yorkshire Terrier,4.0,15.88,Médio,Sim,556.85
Golden Retriever,1.0,14.51,Médio,Não,520.41
Siberian Husky,8.0,14.51,Médio,Sim,520.41
Chihuahua,1.0,24.04,Médio,Sim,759.97
Bulldog,11.0,29.03,Grande,Sim,875.45
Yorkshire Terrier,6.0,21.32,Médio,Sim,694.53
Beagle,7.0,16.78,Médio,Sim,580.35
Golden Retriever,11.0,20.41,Médio,Sim,672.17
SRD (Sem Raça Definida),13.0,28.12,Grande,Sim,854.79
Bulldog,4.0,24.49,Médio,Não,770.62
Rottweiler,11.0,25.4,Grande,Sim,792.0
Dachshund,10.0,38.1,Grande,Sim,1073.47
German Shepherd,7.0,17.69,Médio,Sim,603.8
Great Dane,3.0,30.39,Grande,Não,906.04
German Shepherd,10.0,24.04,Médio,Não,759.97
Chihuahua,7.0,32.66,Grande,Sim,956.34
Poodle,2.0,23.59,Médio,Sim,749.28
Great Dane,6.0,20.41,Médio,Sim,672.17
Beagle,5.0,17.24,Médio,Não,592.24
Australian Shepherd,9.0,6.8,Pequeno,Não,294.77
Golden Retriever,4.0,20.87,Médio,Sim,683.5
Doberman,9.0,19.05,Médio,Sim,638.29
Boxer,10.0,29.94,Grande,Sim,895.96
Great Dane,13.0,15.42,Médio,Não,544.7
Beagle,9.0,24.04,Médio,Não,759.97
Yorkshire Terrier,11.0,22.23,Médio,Sim,716.64
Labrador Retriever,7.0,20.87,Médio,Sim,683.5
Australian Shepherd,1.0,14.97,Médio,Não,532.74
Labrador Retriever,3.0,25.85,Grande,Sim,802.5
Bulldog,6.0,21.32,Médio,Sim,694.53
Bulldog,6.0,22.68,Médio,Sim,727.5
Labrador Retriever,7.0,26.76,Grande,Sim,823.59
Golden Retriever,2.0,20.41,Médio,Sim,672.17
Labrador Retriever,4.0,33.57,Grande,Sim,976.25
German Shepherd,13.0,23.59,Médio,Não,749.28
Siberian Husky,7.0,12.7,Médio,Não,470.92
Australian Shepherd,5.0,18.6,Médio,Sim,626.95
Golden Retriever,5.0,19.05,Médio,Sim,638.29
Boxer,9.0,12.7,Médio,Não,470.92
German Shepherd,3.0,21.77,Médio,Sim,705.49
Rottweiler,4.0,26.76,Grande,Sim,823.59
Poodle,13.0,35.83,Grande,Não,1025.14
Bulldog,4.0,19.5,Médio,Sim,649.57
Rottweiler,7.0,23.59,Médio,Sim,749.28
Labrador Retriever,11.0,17.24,Médio,Não,592.24
SRD (Sem Raça Definida),2.0,14.97,Médio,Sim,532.74
Siberian Husky,5.0,16.78,Médio,Sim,580.35
Yorkshire Terrier,12.0,21.77,Médio,Não,705.49
Bulldog,9.0,34.93,Grande,Não,1005.77
Rottweiler,9.0,33.11,Grande,Sim,966.2
Bulldog,7.0,18.6,Médio,Sim,626.95
German Shepherd,8.0,25.85,Grande,Sim,802.5
Labrador Retriever,11.0,13.61,Médio,Sim,496.01
Bulldog,5.0,22.68,Médio,Sim,727.5
Siberian Husky,9.0,22.68,Médio,Sim,727.5
Dachshund,6.0,20.87,Médio,Não,683.5
Golden Retriever,8.0,23.13,Médio,Sim,738.29
Yorkshire Terrier,1.0,23.59,Médio,Não,749.28
Poodle,6.0,30.39,Grande,Sim,906.04
SRD (Sem Raça Definida),2.0,21.32,Médio,Não,694.53
Doberman,9.0,33.57,Grande,Sim,976.25
Great Dane,2.0,14.51,Médio,Sim,520.41
Beagle,11.0,24.04,Médio,Sim,759.97
Australian Shepherd,7.0,19.5,Médio,Sim,649.57
Beagle,3.0,11.79,Médio,Sim,445.38
Yorkshire Terrier,7.0,23.59,Médio,Sim,749.28
Rottweiler,11.0,13.15,Médio,Sim,483.38
Rottweiler,12.0,22.68,Médio,Sim,727.5
Bulldog,1.0,23.59,Médio,Sim,749.28
SRD (Sem Raça Definida),2.0,32.66,Grande,Sim,956.34
Dachshund,4.0,24.49,Médio,Sim,770.62
SRD (Sem Raça Definida),1.0,35.38,Grande,Não,1015.47
Chihuahua,4.0,23.13,Médio,Sim,738.29
Australian Shepherd,7.0,18.6,Médio,Sim,626.95
Beagle,11.0,13.15,Médio,Não,483.38
Australian Shepherd,2.0,23.59,Médio,Sim,749.28
Labrador Retriever,4.0,32.21,Grande,Sim,946.44
Rottweiler,10.0,28.12,Grande,Não,854.79
Boxer,1.0,21.32,Médio,Sim,694.53
Beagle,13.0,17.69,Médio,Sim,603.8
Beagle,12.0,46.27,Grande,Não,1241.86
SRD (Sem Raça Definida),1.0,29.94,Grande,Sim,895.96
Doberman,8.0,20.87,Médio,Sim,683.5
Yorkshire Terrier,5.0,20.41,Médio,Sim,672.17
German Shepherd,1.0,17.24,Médio,Não,592.24
Golden Retriever,13.0,24.49,Médio,Sim,770.62
Poodle,13.0,24.49,Médio,Sim,770.62
Australian Shepherd,7.0,14.97,Médio,Sim,532.74
SRD (Sem Raça Definida),6.0,24.49,Médio,Sim,770.62
Australian Shepherd,12.0,22.68,Médio,Sim,727.5
Australian Shepherd,5.0,15.42,Médio,Sim,544.7
Yorkshire Terrier,11.0,15.42,Médio,Sim,544.7
Dachshund,7.0,22.68,Médio,Sim,727.5
Great Dane,8.0,29.48,Grande,Não,885.61
Labrador Retriever,7.0,9.53,Pequeno,Sim,379.68
Boxer,4.0,25.4,Grande,Sim,792.0
Yorkshire Terrier,5.0,14.51,Médio,Não,520.41
German Shepherd,3.0,31.75,Grande,Sim,936.28
Poodle,13.0,17.24,Médio,Sim,592.24
Australian Shepherd,1.0,14.06,Médio,Sim,508.26
Rottweiler,9.0,21.77,Médio,Sim,705.49
Dachshund,11.0,34.47,Grande,Sim,995.82
Yorkshire Terrier,10.0,13.15,Médio,Não,483.38
Yorkshire Terrier,10.0,24.95,Médio,Sim,781.45
Bulldog,6.0,21.32,Médio,Sim,694.53
German Shepherd,12.0,20.87,Médio,Sim,683.5
German Shepherd,1.0,27.67,Grande,Sim,844.51
Beagle,7.0,27.22,Grande,Sim,834.19
Bulldog,6.0,27.22,Grande,Sim,834.19
Bulldog,5.0,20.41,Médio,Sim,672.17
Chihuahua,11.0,22.68,Médio,Sim,727.5
Beagle,4.0,27.67,Grande,Sim,844.51
German Shepherd,8.0,19.5,Médio,Sim,649.57
Labrador Retriever,12.0,24.95,Médio,Não,781.45
Golden Retriever,7.0,35.38,Grande,Sim,1015.47
Beagle,7.0,16.78,Médio,Sim,580.35
Poodle,4.0,17.24,Médio,Sim,592.24
Siberian Husky,13.0,24.95,Médio,Sim,781.45
Doberman,2.0,21.32,Médio,Sim,694.53
Doberman,2.0,24.49,Médio,Sim,770.62
Golden Retriever,3.0,14.51,Médio,Sim,520.41
Chihuahua,7.0,15.42,Médio,Sim,544.7
German Shepherd,7.0,28.58,Grande,Sim,865.26
Australian Shepherd,13.0,19.05,Médio,Sim,638.29
SRD (Sem Raça Definida),3.0,20.41,Médio,Sim,672.17
Great Dane,10.0,19.96,Médio,Não,661.03
Labrador Retriever,2.0,37.19,Grande,Sim,1054.19
Yorkshire Terrier,5.0,25.4,Grande,Sim,792.0
Yorkshire Terrier,2.0,22.68,Médio,Sim,727.5
Dachshund,3.0,29.94,Grande,Não,895.96
Rottweiler,7.0,24.04,Médio,Sim,759.97
Doberman,13.0,15.88,Médio,Sim,556.85
Labrador Retriever,13.0,21.32,Médio,Sim,694.53
Chihuahua,11.0,17.69,Médio,Não,603.8
German Shepherd,5.0,12.25,Médio,Sim,458.35
Dachshund,5.0,23.59,Médio,Sim,749.28
Doberman,1.0,23.59,Médio,Sim,749.28
Beagle,2.0,41.28,Grande,Sim,1139.99
Poodle,3.0,29.48,Grande,Sim,885.61
Dachshund,10.0,4.54,Pequeno,Não,217.72
Dachshund,3.0,26.76,Grande,Sim,823.59
Beagle,11.0,22.68,Médio,Sim,727.5
Labrador Retriever,11.0,12.7,Médio,Sim,470.92
Golden Retriever,9.0,23.13,Médio,Sim,738.29
Siberian Husky,11.0,23.59,Médio,Não,749.28
Siberian Husky,3.0,20.87,Médio,Sim,683.5
Beagle,9.0,30.39,Grande,Sim,906.04
Beagle,6.0,13.61,Médio,Sim,496.01
Golden Retriever,11.0,37.19,Grande,Sim,1054.19
Yorkshire Terrier,11.0,23.59,Médio,Sim,749.28
German Shepherd,6.0,30.39,Grande,Sim,906.04
German Shepherd,1.0,20.87,Médio,Sim,683.5
Labrador Retriever,6.0,26.76,Grande,Não,823.59
Rottweiler,4.0,23.13,Médio,Sim,738.29
German Shepherd,9.0,22.68,Médio,Não,727.5
Golden Retriever,6.0,29.03,Grande,Sim,875.45
Yorkshire Terrier,13.0,14.51,Médio,Não,520.41
Poodle,1.0,22.68,Médio,Sim,727.5
Australian Shepherd,7.0,23.13,Médio,Sim,738.29
Siberian Husky,12.0,28.58,Grande,Sim,865.26
Chihuahua,12.0,20.41,Médio,Sim,672.17
Doberman,2.0,29.94,Grande,Sim,895.96
Beagle,1.0,36.29,Grande,Sim,1035.0
Chihuahua,5.0,4.99,Pequeno,Sim,233.71
Australian Shepherd,2.0,13.61,Médio,Sim,496.01
Dachshund,2.0,26.31,Grande,Não,813.18
Yorkshire Terrier,1.0,24.49,Médio,Não,770.62
Poodle,5.0,22.68,Médio,Sim,727.5
Siberian Husky,5.0,14.51,Médio,Sim,520.41
Beagle,8.0,23.13,Médio,Sim,738.29
Yorkshire Terrier,8.0,25.4,Grande,Sim,792.0
Dachshund,8.0,31.75,Grande,Sim,936.28
Poodle,13.0,21.77,Médio,Sim,705.49
Great Dane,9.0,16.33,Médio,Sim,568.64
Labrador Retriever,9.0,25.85,Grande,Não,802.5
Dachshund,2.0,18.14,Médio,Sim,615.28
Boxer,11.0,20.87,Médio,Não,683.5
Doberman,12.0,33.11,Grande,Sim,966.2
German Shepherd,9.0,24.49,Médio,Sim,770.62
Rottweiler,2.0,27.22,Grande,Sim,834.19
Rottweiler,6.0,30.39,Grande,Sim,906.04
Chihuahua,7.0,21.32,Médio,Sim,694.53
Chihuahua,13.0,24.95,Médio,Sim,781.45
Australian Shepherd,5.0,14.97,Médio,Não,532.74
Poodle,9.0,11.34,Médio,Sim,432.57
Doberman,7.0,17.69,Médio,Sim,603.8
Boxer,8.0,28.12,Grande,Sim,854.79
Golden Retriever,9.0,24.49,Médio,Sim,770.62
Labrador Retriever,11.0,28.58,Grande,Sim,865.26
Dachshund,9.0,30.39,Grande,Sim,906.04
Golden Retriever,2.0,20.87,Médio,Não,683.5
German Shepherd,6.0,34.47,Grande,Sim,995.82
Doberman,7.0,25.4,Grande,Sim,792.0
Labrador Retriever,8.0,16.33,Médio,Sim,568.64
Boxer,9.0,32.66,Grande,Sim,956.34
Boxer,3.0,16.78,Médio,Sim,580.35
Doberman,7.0,14.51,Médio,Sim,520.41
Golden Retriever,5.0,21.32,Médio,Sim,694.53
Beagle,9.0,22.68,Médio,Não,727.5
Beagle,4.0,34.47,Grande,Sim,995.82
Golden Retriever,2.0,29.94,Grande,Sim,895.96
Chihuahua,11.0,12.7,Médio,Não,470.92
Labrador Retriever,4.0,24.49,Médio,Sim,770.62
Australian Shepherd,12.0,33.57,Grande,Não,976.25
Doberman,1.0,24.04,Médio,Sim,759.97
Labrador Retriever,7.0,12.7,Médio,Sim,470.92
Bulldog,5.0,32.21,Grande,Sim,946.44
Chihuahua,12.0,31.75,Grande,Sim,936.28
Chihuahua,8.0,19.05,Médio,Sim,638.29
German Shepherd,2.0,25.85,Grande,Sim,802.5
Yorkshire Terrier,12.0,23.59,Médio,Não,749.28
Dachshund,1.0,19.96,Médio,Não,661.03
Labrador Retriever,1.0,22.68,Médio,Não,727.5
Poodle,6.0,14.97,Médio,Sim,532.74
Siberian Husky,9.0,20.41,Médio,Sim,672.17
Dachshund,12.0,24.95,Médio,Sim,781.45
Labrador Retriever,4.0,20.87,Médio,Sim,683.5
Golden Retriever,5.0,18.6,Médio,Sim,626.95
SRD (Sem Raça Definida),13.0,28.58,Grande,Não,865.26
Rottweiler,5.0,34.47,Grande,Sim,995.82
Bulldog,2.0,27.67,Grande,Sim,844.51
Golden Retriever,4.0,19.5,Médio,Sim,649.57
Boxer,4.0,16.33,Médio,Sim,568.64
Poodle,10.0,20.87,Médio,Sim,683.5
Rottweiler,12.0,6.35,Pequeno,Sim,280.01
Great Dane,2.0,32.21,Grande,Sim,946.44
Rottweiler,6.0,25.4,Grande,Sim,792.0
Labrador Retriever,6.0,16.78,Médio,Não,580.35
German Shepherd,7.0,29.48,Grande,Sim,885.61
German Shepherd,8.0,30.84,Grande,Sim,916.08
Yorkshire Terrier,13.0,17.24,Médio,Sim,592.24
Dachshund,11.0,22.68,Médio,Não,727.5
Australian Shepherd,4.0,4.54,Pequeno,Sim,217.72
Great Dane,8.0,19.05,Médio,Sim,638.29
Rottweiler,3.0,24.04,Médio,Não,759.97
Chihuahua,10.0,30.39,Grande,Não,906.04
SRD (Sem Raça Definida),11.0,24.95,Médio,Não,781.45
Golden Retriever,6.0,29.03,Grande,Sim,875.45
Beagle,5.0,30.84,Grande,Sim,916.08
German Shepherd,3.0,29.03,Grande,Sim,875.45
Boxer,2.0,14.51,Médio,Sim,520.41
Great Dane,9.0,15.42,Médio,Sim,544.7
Great Dane,5.0,21.32,Médio,Não,694.53
Beagle,9.0,32.21,Grande,Sim,946.44
Yorkshire Terrier,13.0,22.68,Médio,Não,727.5
Great Dane,12.0,29.94,Grande,Sim,895.96
Poodle,1.0,28.58,Grande,Sim,865.26
Doberman,12.0,13.15,Médio,Sim,483.38
Chihuahua,11.0,14.06,Médio,Não,508.26
Doberman,4.0,25.4,Grande,Sim,792.0
Doberman,5.0,31.3,Grande,Sim,926.31
Great Dane,13.0,23.13,Médio,Sim,738.29
Australian Shepherd,12.0,23.59,Médio,Não,749.28
Dachshund,12.0,18.6,Médio,Sim,626.95
Poodle,2.0,16.33,Médio,Sim,568.64
Poodle,7.0,11.79,Médio,Sim,445.38
Dachshund,3.0,29.03,Grande,Sim,875.45
Rottweiler,3.0,33.57,Grande,Sim,976.25
Labrador Retriever,5.0,29.94,Grande,Sim,895.96
Labrador Retriever,1.0,31.3,Grande,Sim,926.31
German Shepherd,2.0,29.94,Grande,Sim,895.96
Dachshund,10.0,27.22,Grande,Não,834.19
Chihuahua,1.0,17.24,Médio,Sim,592.24
Australian Shepherd,7.0,19.5,Médio,Sim,649.57
Golden Retriever,7.0,14.06,Médio,Sim,508.26
Poodle,9.0,27.67,Grande,Sim,844.51
German Shepherd,12.0,15.42,Médio,Sim,544.7
Boxer,1.0,10.89,Médio,Sim,419.63
Siberian Husky,4.0,13.15,Médio,Sim,483.38
Labrador Retriever,11.0,24.04,Médio,Sim,759.97
Siberian Husky,8.0,21.77,Médio,Sim,705.49
Labrador Retriever,2.0,23.59,Médio,Sim,749.28
Labrador Retriever,13.0,13.15,Médio,Sim,483.38
Golden Retriever,7.0,22.68,Médio,Sim,727.5
Beagle,7.0,22.68,Médio,Sim,727.5
Labrador Retriever,3.0,22.23,Médio,Sim,716.64
Poodle,8.0,20.41,Médio,Sim,672.17
German Shepherd,7.0,19.5,Médio,Sim,649.57
Rottweiler,12.0,26.76,Grande,Sim,823.59
Poodle,4.0,28.58,Grande,Sim,865.26
Boxer,9.0,26.76,Grande,Sim,823.59
Doberman,2.0,22.23,Médio,Sim,716.64
SRD (Sem Raça Definida),4.0,32.66,Grande,Sim,956.34
Siberian Husky,6.0,28.12,Grande,Sim,854.79
Siberian Husky,2.0,26.31,Grande,Sim,813.18
German Shepherd,7.0,5.9,Pequeno,Não,264.99
German Shepherd,2.0,21.32,Médio,Não,694.53
German Shepherd,9.0,22.68,Médio,Sim,727.5
Siberian Husky,3.0,22.68,Médio,Sim,727.5
Great Dane,7.0,22.68,Médio,Sim,727.5
Australian Shepherd,3.0,4.54,Pequeno,Sim,217.72
Beagle,8.0,13.61,Médio,Sim,496.01
Golden Retriever,10.0,18.6,Médio,Sim,626.95
Bulldog,13.0,18.14,Médio,Sim,615.28
Beagle,2.0,35.83,Grande,Sim,1025.14
Labrador Retriever,5.0,17.69,Médio,Sim,603.8
Bulldog,1.0,27.67,Grande,Sim,844.51
Golden Retriever,10.0,10.43,Médio,Sim,406.27
Bulldog,9.0,23.59,Médio,Não,749.28
Dachshund,12.0,24.49,Médio,Sim,770.62
Bulldog,10.0,19.5,Médio,Não,649.57
Bulldog,10.0,22.68,Médio,Não,727.5
Rottweiler,3.0,24.95,Médio,Sim,781.45
Great Dane,7.0,38.56,Grande,Não,1083.18
SRD (Sem Raça Definida),9.0,30.39,Grande,Sim,906.04
Golden Retriever,13.0,24.04,Médio,Não,759.97
Boxer,8.0,20.87,Médio,Sim,683.5
Rottweiler,9.0,21.32,Médio,Não,694.53
Poodle,12.0,14.51,Médio,Não,520.41
Great Dane,7.0,17.24,Médio,Sim,592.24
Poodle,7.0,24.95,Médio,Sim,781.45
Bulldog,9.0,21.77,Médio,Sim,705.49
Australian Shepherd,8.0,18.14,Médio,Sim,615.28
Siberian Husky,5.0,34.02,Grande,Sim,986.05
Poodle,2.0,23.13,Médio,Sim,738.29
Golden Retriever,2.0,23.59,Médio,Sim,749.28
Bulldog,13.0,29.48,Grande,Sim,885.61
