Breed,Sex,Age,animalWeight_kg,animalSize,Daily Activity Level,Diet,Food Brand,daily_walk_km,Medications,Seizures,Hours of Sleep,Play Time (hrs),Owner Activity Level,Annual Vet Visits,RER_kcal,Healthy
Rottweiler,Female,12.0,29.94,Large,Moderate,Wet food,Nutro,4.83,Yes,Yes,14.0,1.0,Very Active,1.0,895.96,No
Bulldog,Female,3.0,35.83,Large,Moderate,Wet food,Iams,9.66,No,No,9.0,2.0,Very Active,2.0,1025.14,Yes
Chihuahua,Female,10.0,16.78,Medium,Moderate,Wet food,Nutro,3.22,Yes,No,11.0,2.0,Very Active,1.0,580.35,No
Great Dane,Female,2.0,30.39,Large,Active,Wet food,Iams,1.61,Yes,No,9.0,1.0,Active,0.0,906.04,No
Golden Retriever,Female,6.0,21.77,Medium,Low,Special diet,Blue Buffalo,6.44,Yes,No,11.0,3.0,Active,1.0,705.49,Yes
Siberian Husky,Female,5.0,24.95,Medium,Active,Wet food,Hill's Science,3.22,No,No,10.0,2.0,Active,2.0,781.45,Yes
Australian Shepherd,Female,4.0,24.95,Medium,Very Active,Wet food,Nutro,4.83,Yes,No,11.0,2.0,Moderate,0.0,781.45,Yes
Bulldog,Female,9.0,20.87,Medium,Active,Hard food,Royal Canin,9.66,No,No,11.0,1.0,Active,0.0,683.5,No
Australian Shepherd,Male,8.0,33.57,Large,Low,Wet food,Purina,6.44,Yes,No,10.0,1.0,Active,1.0,976.25,Yes
Siberian Husky,Male,13.0,22.23,Medium,Low,Special diet,Purina,4.83,Yes,No,12.0,0.0,Active,1.0,716.64,No
Poodle,Female,4.0,24.95,Medium,Active,Wet food,Nutro,4.83,No,No,10.0,2.0,Moderate,0.0,781.45,Yes
German Shepherd,Female,12.0,16.78,Medium,Moderate,Home cooked,Special,0.0,Yes,No,11.0,1.0,Very Active,0.0,580.35,No
Labrador Retriever,Female,9.0,27.22,Large,Very Active,Hard food,Iams,4.83,Yes,No,10.0,2.0,Very Active,3.0,834.19,Yes
Boxer,Male,4.0,22.68,Medium,Moderate,Hard food,Purina,3.22,No,No,9.0,2.0,Very Active,2.0,727.5,Yes
German Shepherd,Female,9.0,32.66,Large,Very Active,Home cooked,Special,0.0,Yes,No,11.0,2.0,Active,2.0,956.34,Yes
Rottweiler,Female,1.0,12.25,Medium,Active,Hard food,Pedigree,1.61,No,No,11.0,2.0,Very Active,0.0,458.35,Yes
Australian Shepherd,Male,9.0,28.12,Large,Very Active,Wet food,Hill's Science,1.61,No,No,10.0,2.0,Low,0.0,854.79,Yes
Beagle,Male,9.0,24.04,Medium,Active,Home cooked,Special,1.61,Yes,No,11.0,1.0,Very Active,1.0,759.97,Yes
Poodle,Male,10.0,19.5,Medium,Very Active,Special diet,Royal Canin,8.05,No,No,13.0,3.0,Very Active,4.0,649.57,Yes
Labrador Retriever,Male,9.0,18.6,Medium,Active,Hard food,Pedigree,3.22,No,No,10.0,2.0,Moderate,2.0,626.95,Yes
Bulldog,Male,8.0,24.49,Medium,Very Active,Hard food,Iams,4.83,Yes,No,10.0,3.0,Low,1.0,770.62,Yes
Siberian Husky,Male,2.0,22.68,Medium,Very Active,Home cooked,Special,11.27,No,No,10.0,0.0,Moderate,1.0,727.5,Yes
Bulldog,Male,8.0,22.68,Medium,Very Active,Special diet,Pedigree,0.0,Yes,No,13.0,1.0,Moderate,2.0,727.5,Yes
Great Dane,Male,8.0,21.32,Medium,Active,Special diet,Wellness,4.83,No,No,12.0,2.0,Very Active,2.0,694.53,Yes
Chihuahua,Male,3.0,12.25,Medium,Low,Special diet,Nutro,0.0,Yes,No,11.0,1.0,Very Active,1.0,458.35,Yes
Dachshund,Male,10.0,14.06,Medium,Active,Wet food,Blue Buffalo,6.44,No,No,10.0,2.0,Very Active,1.0,508.26,Yes
Siberian Husky,Male,8.0,30.84,Large,Low,Special diet,Iams,9.66,Yes,No,10.0,1.0,Low,2.0,916.08,Yes
German Shepherd,Female,1.0,34.93,Large,Low,Special diet,Hill's Science,3.22,No,No,10.0,2.0,Very Active,3.0,1005.77,Yes
Golden Retriever,Male,10.0,21.32,Medium,Active,Home cooked,Special,1.61,No,No,9.0,3.0,Active,4.0,694.53,Yes
Doberman,Male,4.0,32.21,Large,Moderate,Wet food,Hill's Science,6.44,No,No,12.0,2.0,Very Active,2.0,946.44,Yes
Australian Shepherd,Male,8.0,29.03,Large,Low,Hard food,Nutro,0.0,No,No,9.0,0.0,Very Active,2.0,875.45,Yes
Yorkshire Terrier,Female,4.0,14.51,Medium,Low,Wet food,Hill's Science,3.22,No,No,13.0,0.0,Very Active,0.0,520.41,No
Dachshund,Male,2.0,21.77,Medium,Moderate,Wet food,Hill's Science,3.22,Yes,No,13.0,1.0,Active,2.0,705.49,Yes
Poodle,Female,11.0,11.34,Medium,Very Active,Special diet,Purina,1.61,No,No,10.0,3.0,Moderate,3.0,432.57,Yes
Golden Retriever,Female,2.0,11.79,Medium,Moderate,Home cooked,Special,6.44,No,No,11.0,2.0,Low,1.0,445.38,Yes
Boxer,Female,10.0,16.33,Medium,Low,Hard food,Royal Canin,3.22,No,No,11.0,3.0,Very Active,0.0,568.64,No
Chihuahua,Male,1.0,11.79,Medium,Active,Special diet,Special,4.83,Yes,No,8.0,4.0,Active,2.0,445.38,Yes
Bulldog,Male,7.0,14.06,Medium,Active,Special diet,Nutro,3.22,No,No,11.0,1.0,Low,0.0,508.26,Yes
German Shepherd,Male,7.0,19.96,Medium,Moderate,Special diet,Blue Buffalo,3.22,No,No,10.0,2.0,Low,1.0,661.03,Yes
Australian Shepherd,Female,3.0,24.95,Medium,Low,Home cooked,Special,1.61,Yes,No,9.0,3.0,Active,2.0,781.45,Yes
Great Dane,Male,1.0,27.22,Large,Low,Special diet,Blue Buffalo,6.44,No,No,11.0,2.0,Low,4.0,834.19,No
Chihuahua,Female,3.0,27.22,Large,Low,Special diet,Iams,4.83,No,No,11.0,2.0,Very Active,2.0,834.19,Yes
Mixed/SRD,Male,10.0,23.13,Medium,Very Active,Wet food,Royal Canin,4.83,Yes,No,10.0,1.0,Very Active,0.0,738.29,No
Bulldog,Female,6.0,21.32,Medium,Moderate,Special diet,Iams,0.0,No,No,13.0,1.0,Very Active,1.0,694.53,Yes
Australian Shepherd,Male,6.0,27.22,Large,Active,Special diet,Pedigree,8.05,Yes,No,11.0,0.0,Low,0.0,834.19,Yes
Yorkshire Terrier,Male,5.0,28.12,Large,Active,Special diet,Purina,1.61,Yes,No,11.0,2.0,Very Active,0.0,854.79,Yes
Labrador Retriever,Female,4.0,15.88,Medium,Very Active,Hard food,Nutro,6.44,No,No,11.0,2.0,Moderate,1.0,556.85,Yes
Boxer,Male,6.0,22.23,Medium,Active,Wet food,Nutro,4.83,Yes,No,10.0,0.0,Active,1.0,716.64,Yes
Labrador Retriever,Male,8.0,26.31,Large,Low,Wet food,Nutro,1.61,Yes,No,12.0,3.0,Moderate,2.0,813.18,Yes
Doberman,Male,2.0,29.03,Large,Active,Special diet,Purina,4.83,No,No,10.0,2.0,Very Active,0.0,875.45,Yes
Beagle,Male,5.0,20.41,Medium,Moderate,Special diet,Royal Canin,3.22,No,No,12.0,1.0,Low,1.0,672.17,Yes
Great Dane,Female,4.0,19.5,Medium,Moderate,Wet food,Hill's Science,3.22,No,No,12.0,2.0,Active,1.0,649.57,Yes
Doberman,Male,4.0,17.24,Medium,Low,Wet food,Blue Buffalo,3.22,Yes,No,11.0,1.0,Very Active,2.0,592.24,Yes
Dachshund,Female,7.0,21.77,Medium,Very Active,Wet food,Blue Buffalo,4.83,Yes,No,11.0,2.0,Moderate,1.0,705.49,Yes
German Shepherd,Male,3.0,25.85,Large,Moderate,Hard food,Purina,4.83,No,No,13.0,4.0,Active,0.0,802.5,Yes
Labrador Retriever,Female,13.0,24.04,Medium,Low,Wet food,Wellness,8.05,No,No,10.0,2.0,Low,3.0,759.97,Yes
Boxer,Male,13.0,20.41,Medium,Low,Wet food,Wellness,4.83,No,No,12.0,0.0,Very Active,1.0,672.17,Yes
Golden Retriever,Male,3.0,17.24,Medium,Low,Special diet,Hill's Science,3.22,Yes,No,13.0,1.0,Moderate,2.0,592.24,Yes
Doberman,Male,12.0,29.03,Large,Moderate,Special diet,Iams,4.83,Yes,No,8.0,2.0,Very Active,2.0,875.45,Yes
German Shepherd,Female,6.0,33.11,Large,Active,Wet food,Iams,3.22,Yes,No,9.0,2.0,Active,0.0,966.2,No
Boxer,Female,11.0,29.94,Large,Active,Wet food,Purina,0.0,Yes,No,10.0,2.0,Very Active,3.0,895.96,Yes
Great Dane,Male,5.0,24.49,Medium,Active,Special diet,Pedigree,8.05,Yes,No,13.0,1.0,Moderate,3.0,770.62,Yes
Chihuahua,Female,12.0,26.76,Large,Active,Special diet,Wellness,6.44,No,Yes,12.0,1.0,Moderate,2.0,823.59,Yes
German Shepherd,Male,4.0,22.68,Medium,Low,Home cooked,Special,4.83,No,No,11.0,2.0,Very Active,3.0,727.5,Yes
Bulldog,Male,2.0,15.42,Medium,Low,Wet food,Purina,4.83,Yes,No,12.0,2.0,Low,3.0,544.7,Yes
Bulldog,Male,4.0,17.24,Medium,Active,Wet food,Hill's Science,8.05,Yes,No,10.0,2.0,Very Active,2.0,592.24,Yes
German Shepherd,Male,3.0,22.23,Medium,Moderate,Home cooked,Special,3.22,No,No,12.0,2.0,Very Active,1.0,716.64,Yes
Rottweiler,Male,12.0,33.57,Large,Very Active,Wet food,Hill's Science,0.0,No,No,10.0,1.0,Very Active,1.0,976.25,Yes
Poodle,Female,10.0,26.31,Large,Very Active,Home cooked,Special,1.61,Yes,No,10.0,2.0,Very Active,0.0,813.18,Yes
German Shepherd,Male,11.0,10.89,Medium,Moderate,Wet food,Wellness,1.61,No,No,13.0,2.0,Very Active,0.0,419.63,No
Chihuahua,Female,4.0,16.78,Medium,Low,Wet food,Hill's Science,6.44,No,No,11.0,2.0,Active,3.0,580.35,Yes
German Shepherd,Male,12.0,23.13,Medium,Active,Special diet,Wellness,4.83,Yes,Yes,11.0,0.0,Very Active,2.0,738.29,No
Poodle,Male,1.0,17.24,Medium,Moderate,Wet food,Pedigree,6.44,No,No,14.0,1.0,Very Active,1.0,592.24,No
Poodle,Male,12.0,12.7,Medium,Active,Wet food,Blue Buffalo,4.83,Yes,No,9.0,1.0,Very Active,2.0,470.92,No
Australian Shepherd,Male,11.0,27.22,Large,Very Active,Special diet,Nutro,4.83,Yes,No,12.0,2.0,Active,2.0,834.19,Yes
Great Dane,Female,7.0,33.57,Large,Low,Home cooked,Special,4.83,Yes,No,8.0,1.0,Low,1.0,976.25,Yes
Rottweiler,Male,6.0,29.94,Large,Active,Hard food,Purina,4.83,Yes,No,12.0,2.0,Very Active,1.0,895.96,Yes
Poodle,Male,12.0,24.04,Medium,Moderate,Wet food,Purina,4.83,No,Yes,14.0,0.0,Active,1.0,759.97,No
Golden Retriever,Female,10.0,25.4,Large,Very Active,Home cooked,Special,3.22,No,No,13.0,2.0,Moderate,1.0,792.0,Yes
Beagle,Female,5.0,21.32,Medium,Very Active,Hard food,Blue Buffalo,1.61,No,No,10.0,3.0,Very Active,0.0,694.53,Yes
Boxer,Male,4.0,27.22,Large,Very Active,Home cooked,Special,4.83,Yes,No,10.0,2.0,Low,3.0,834.19,Yes
Australian Shepherd,Male,13.0,24.04,Medium,Active,Wet food,Iams,8.05,Yes,No,12.0,1.0,Active,1.0,759.97,Yes
Dachshund,Female,9.0,21.77,Medium,Very Active,Wet food,Nutro,8.05,No,No,13.0,3.0,Very Active,1.0,705.49,Yes
Chihuahua,Male,10.0,23.13,Medium,Active,Special diet,Blue Buffalo,4.83,Yes,No,9.0,1.0,Low,2.0,738.29,Yes
Bulldog,Male,11.0,27.22,Large,Active,Special diet,Royal Canin,3.22,No,No,12.0,1.0,Very Active,1.0,834.19,Yes
Australian Shepherd,Male,4.0,17.24,Medium,Active,Special diet,Nutro,4.83,Yes,No,11.0,1.0,Very Active,2.0,592.24,Yes
Yorkshire Terrier,Female,1.0,22.68,Medium,Very Active,Hard food,Royal Canin,0.0,No,No,11.0,0.0,Very Active,0.0,727.5,Yes
Australian Shepherd,Female,8.0,17.69,Medium,Moderate,Special diet,Purina,6.44,Yes,No,13.0,2.0,Very Active,1.0,603.8,Yes
Dachshund,Male,2.0,18.6,Medium,Active,Special diet,Pedigree,3.22,No,No,11.0,2.0,Very Active,3.0,626.95,Yes
Great Dane,Female,5.0,36.74,Large,Low,Wet food,Wellness,3.22,Yes,No,9.0,1.0,Moderate,2.0,1044.61,No
Dachshund,Male,8.0,34.47,Large,Active,Hard food,Iams,6.44,Yes,No,11.0,1.0,Moderate,1.0,995.82,Yes
Australian Shepherd,Male,3.0,26.76,Large,Active,Special diet,Wellness,6.44,No,No,9.0,2.0,Very Active,4.0,823.59,Yes
Boxer,Male,11.0,13.15,Medium,Moderate,Wet food,Royal Canin,1.61,No,No,11.0,4.0,Low,0.0,483.38,No
Australian Shepherd,Female,8.0,23.59,Medium,Active,Special diet,Iams,6.44,Yes,No,11.0,1.0,Moderate,2.0,749.28,Yes
Siberian Husky,Male,1.0,28.12,Large,Low,Wet food,Nutro,3.22,No,No,13.0,3.0,Moderate,1.0,854.79,Yes
Chihuahua,Male,6.0,30.84,Large,Very Active,Hard food,Hill's Science,4.83,No,No,11.0,1.0,Active,2.0,916.08,Yes
Bulldog,Male,6.0,30.39,Large,Very Active,Home cooked,Special,6.44,Yes,No,10.0,0.0,Very Active,1.0,906.04,Yes
Siberian Husky,Male,5.0,20.87,Medium,Active,Special diet,Pedigree,0.0,Yes,No,12.0,2.0,Very Active,0.0,683.5,Yes
Labrador Retriever,Male,13.0,20.41,Medium,Moderate,Hard food,Blue Buffalo,4.83,No,No,10.0,1.0,Very Active,2.0,672.17,No
Rottweiler,Female,12.0,25.85,Large,Moderate,Home cooked,Special,6.44,No,No,11.0,0.0,Low,1.0,802.5,No
Dachshund,Female,12.0,13.61,Medium,Very Active,Special diet,Iams,8.05,Yes,No,12.0,2.0,Moderate,3.0,496.01,Yes
Dachshund,Female,11.0,29.48,Large,Active,Special diet,Blue Buffalo,4.83,No,No,12.0,1.0,Moderate,3.0,885.61,Yes
Australian Shepherd,Female,10.0,16.33,Medium,Very Active,Special diet,Blue Buffalo,4.83,Yes,No,11.0,0.0,Active,1.0,568.64,Yes
Doberman,Female,3.0,16.33,Medium,Low,Home cooked,Special,4.83,No,No,11.0,3.0,Very Active,3.0,568.64,Yes
Bulldog,Male,8.0,26.76,Large,Active,Special diet,Purina,8.05,No,No,8.0,1.0,Very Active,1.0,823.59,Yes
Boxer,Female,1.0,19.96,Medium,Low,Hard food,Royal Canin,4.83,Yes,No,11.0,4.0,Very Active,2.0,661.03,No
Chihuahua,Male,3.0,19.5,Medium,Very Active,Special diet,Blue Buffalo,4.83,No,No,12.0,2.0,Moderate,3.0,649.57,Yes
Poodle,Male,9.0,27.22,Large,Active,Home cooked,Special,3.22,No,No,12.0,3.0,Very Active,3.0,834.19,Yes
Chihuahua,Male,2.0,36.29,Large,Active,Home cooked,Special,1.61,Yes,Yes,11.0,3.0,Moderate,2.0,1035.0,Yes
Australian Shepherd,Male,3.0,8.16,Small,Moderate,Hard food,Royal Canin,6.44,No,No,13.0,0.0,Very Active,3.0,337.96,No
Beagle,Female,4.0,28.58,Large,Moderate,Special diet,Blue Buffalo,4.83,No,No,12.0,1.0,Very Active,0.0,865.26,Yes
Doberman,Female,10.0,26.76,Large,Very Active,Wet food,Iams,3.22,Yes,No,10.0,0.0,Active,2.0,823.59,Yes
Rottweiler,Male,3.0,24.95,Medium,Active,Hard food,Purina,1.61,No,Yes,11.0,3.0,Very Active,1.0,781.45,Yes
Siberian Husky,Male,10.0,9.53,Small,Active,Wet food,Iams,4.83,No,No,10.0,1.0,Active,2.0,379.68,No
Yorkshire Terrier,Male,9.0,9.98,Small,Moderate,Wet food,Royal Canin,1.61,No,No,13.0,0.0,Active,2.0,393.05,Yes
Bulldog,Female,7.0,26.31,Large,Very Active,Wet food,Wellness,1.61,Yes,No,10.0,1.0,Very Active,2.0,813.18,Yes
Doberman,Female,10.0,37.65,Large,Active,Home cooked,Special,6.44,No,No,10.0,2.0,Active,1.0,1063.95,No
Siberian Husky,Female,12.0,22.68,Medium,Active,Hard food,Iams,4.83,No,No,11.0,1.0,Active,1.0,727.5,No
Beagle,Female,7.0,29.03,Large,Very Active,Home cooked,Special,3.22,No,No,12.0,2.0,Active,0.0,875.45,Yes
Mixed/SRD,Male,5.0,22.23,Medium,Low,Wet food,Nutro,3.22,Yes,No,13.0,1.0,Low,1.0,716.64,Yes
Boxer,Male,8.0,16.33,Medium,Active,Hard food,Iams,6.44,No,No,10.0,2.0,Very Active,0.0,568.64,No
Mixed/SRD,Female,9.0,14.51,Medium,Moderate,Hard food,Iams,3.22,Yes,No,8.0,2.0,Moderate,1.0,520.41,No
Doberman,Male,10.0,19.96,Medium,Active,Special diet,Wellness,3.22,Yes,No,12.0,1.0,Very Active,1.0,661.03,No
Boxer,Male,10.0,24.04,Medium,Very Active,Home cooked,Special,1.61,Yes,No,11.0,1.0,Moderate,2.0,759.97,Yes
Chihuahua,Male,4.0,19.05,Medium,Active,Hard food,Wellness,0.0,No,No,10.0,2.0,Low,2.0,638.29,Yes
Bulldog,Male,5.0,38.1,Large,Very Active,Home cooked,Special,1.61,No,No,11.0,1.0,Active,1.0,1073.47,Yes
Chihuahua,Female,2.0,25.85,Large,Moderate,Wet food,Wellness,6.44,No,Yes,10.0,0.0,Very Active,0.0,802.5,No
Siberian Husky,Male,4.0,19.05,Medium,Active,Home cooked,Special,4.83,Yes,No,10.0,2.0,Very Active,1.0,638.29,Yes
Golden Retriever,Female,10.0,34.47,Large,Active,Wet food,Nutro,0.0,No,No,10.0,2.0,Active,1.0,995.82,No
Yorkshire Terrier,Male,1.0,20.41,Medium,Active,Hard food,Iams,1.61,No,No,11.0,2.0,Moderate,1.0,672.17,Yes
Dachshund,Male,2.0,28.58,Large,Very Active,Hard food,Hill's Science,4.83,No,No,14.0,2.0,Active,2.0,865.26,Yes
Yorkshire Terrier,Female,8.0,37.65,Large,Moderate,Hard food,Hill's Science,4.83,Yes,No,8.0,1.0,Very Active,3.0,1063.95,No
Chihuahua,Male,12.0,19.96,Medium,Moderate,Home cooked,Special,8.05,No,No,10.0,1.0,Moderate,1.0,661.03,Yes
Mixed/SRD,Male,7.0,22.68,Medium,Moderate,Hard food,Royal Canin,4.83,No,No,11.0,2.0,Active,2.0,727.5,Yes
Golden Retriever,Male,12.0,22.68,Medium,Low,Wet food,Hill's Science,1.61,Yes,No,11.0,3.0,Low,0.0,727.5,No
Poodle,Male,13.0,4.54,Small,Low,Home cooked,Special,4.83,Yes,No,11.0,2.0,Active,0.0,217.72,No
Golden Retriever,Female,13.0,16.78,Medium,Moderate,Hard food,Hill's Science,3.22,Yes,No,11.0,1.0,Active,1.0,580.35,No
Mixed/SRD,Female,13.0,23.59,Medium,Very Active,Hard food,Royal Canin,3.22,No,No,11.0,0.0,Active,2.0,749.28,Yes
Boxer,Female,11.0,25.4,Large,Very Active,Home cooked,Special,0.0,Yes,Yes,12.0,1.0,Low,2.0,792.0,Yes
Mixed/SRD,Female,13.0,28.12,Large,Active,Special diet,Hill's Science,1.61,Yes,No,11.0,1.0,Very Active,1.0,854.79,Yes
Great Dane,Male,13.0,28.12,Large,Active,Wet food,Iams,1.61,No,No,11.0,2.0,Active,0.0,854.79,Yes
Siberian Husky,Male,11.0,19.5,Medium,Low,Wet food,Hill's Science,8.05,Yes,No,11.0,0.0,Moderate,1.0,649.57,No
German Shepherd,Female,3.0,22.68,Medium,Active,Wet food,Royal Canin,4.83,No,No,9.0,1.0,Low,1.0,727.5,Yes
Labrador Retriever,Female,10.0,36.74,Large,Low,Special diet,Hill's Science,8.05,No,No,10.0,2.0,Very Active,1.0,1044.61,Yes
German Shepherd,Male,13.0,24.04,Medium,Active,Home cooked,Special,4.83,No,No,12.0,1.0,Very Active,0.0,759.97,Yes
Yorkshire Terrier,Female,10.0,23.13,Medium,Active,Home cooked,Special,3.22,No,No,11.0,2.0,Very Active,2.0,738.29,Yes
German Shepherd,Female,12.0,23.13,Medium,Low,Home cooked,Special,1.61,Yes,No,12.0,2.0,Low,0.0,738.29,No
Boxer,Male,6.0,19.5,Medium,Active,Special diet,Purina,3.22,No,No,14.0,2.0,Very Active,3.0,649.57,Yes
Siberian Husky,Female,13.0,26.31,Large,Very Active,Wet food,Nutro,0.0,No,No,12.0,2.0,Very Active,0.0,813.18,Yes
Yorkshire Terrier,Male,10.0,32.21,Large,Low,Hard food,Blue Buffalo,0.0,No,No,14.0,1.0,Very Active,1.0,946.44,Yes
Yorkshire Terrier,Male,2.0,23.59,Medium,Very Active,Hard food,Iams,4.83,Yes,No,11.0,0.0,Very Active,1.0,749.28,Yes
Australian Shepherd,Female,8.0,19.05,Medium,Moderate,Special diet,Wellness,4.83,Yes,No,12.0,2.0,Moderate,2.0,638.29,Yes
Siberian Husky,Male,10.0,31.3,Large,Active,Hard food,Royal Canin,1.61,Yes,No,13.0,2.0,Active,1.0,926.31,Yes
Yorkshire Terrier,Female,4.0,28.58,Large,Active,Special diet,Purina,6.44,No,No,12.0,1.0,Low,2.0,865.26,Yes
Boxer,Female,12.0,19.05,Medium,Very Active,Hard food,Purina,0.0,No,No,11.0,1.0,Active,0.0,638.29,No
Boxer,Female,6.0,24.04,Medium,Active,Special diet,Royal Canin,6.44,Yes,No,11.0,2.0,Very Active,3.0,759.97,Yes
German Shepherd,Female,7.0,13.61,Medium,Moderate,Wet food,Hill's Science,3.22,Yes,No,8.0,2.0,Very Active,3.0,496.01,Yes
Doberman,Female,11.0,20.87,Medium,Very Active,Hard food,Hill's Science,0.0,Yes,No,14.0,0.0,Very Active,3.0,683.5,Yes
Doberman,Female,11.0,14.97,Medium,Moderate,Wet food,Nutro,0.0,Yes,No,11.0,0.0,Moderate,2.0,532.74,No
Dachshund,Female,1.0,15.42,Medium,Very Active,Hard food,Pedigree,8.05,Yes,No,10.0,0.0,Low,0.0,544.7,No
Golden Retriever,Female,4.0,15.88,Medium,Low,Wet food,Blue Buffalo,1.61,No,No,10.0,3.0,Very Active,2.0,556.85,Yes
Mixed/SRD,Female,6.0,28.58,Large,Moderate,Special diet,Hill's Science,4.83,No,No,8.0,2.0,Low,0.0,865.26,Yes
Yorkshire Terrier,Female,9.0,19.96,Medium,Very Active,Special diet,Pedigree,6.44,Yes,No,12.0,1.0,Very Active,0.0,661.03,Yes
German Shepherd,Male,9.0,24.49,Medium,Very Active,Home cooked,Special,3.22,No,No,13.0,2.0,Active,0.0,770.62,Yes
Boxer,Female,11.0,16.33,Medium,Active,Home cooked,Special,8.05,Yes,No,11.0,2.0,Very Active,0.0,568.64,Yes
Boxer,Male,1.0,41.73,Large,Active,Special diet,Nutro,3.22,No,No,11.0,2.0,Moderate,2.0,1149.3,Yes
Australian Shepherd,Female,2.0,16.78,Medium,Low,Special diet,Royal Canin,4.83,Yes,No,14.0,1.0,Very Active,2.0,580.35,Yes
Labrador Retriever,Female,7.0,25.4,Large,Very Active,Wet food,Pedigree,3.22,Yes,No,10.0,1.0,Very Active,3.0,792.0,Yes
Chihuahua,Female,7.0,31.75,Large,Active,Special diet,Wellness,4.83,Yes,No,12.0,2.0,Active,1.0,936.28,Yes
Poodle,Male,13.0,29.48,Large,Moderate,Wet food,Pedigree,6.44,Yes,Yes,13.0,3.0,Very Active,3.0,885.61,No
Beagle,Female,2.0,11.34,Medium,Active,Wet food,Blue Buffalo,8.05,No,No,12.0,1.0,Very Active,1.0,432.57,Yes
Labrador Retriever,Male,11.0,28.58,Large,Active,Hard food,Pedigree,1.61,Yes,No,10.0,3.0,Moderate,0.0,865.26,No
Rottweiler,Male,9.0,39.01,Large,Active,Special diet,Special,3.22,Yes,No,9.0,0.0,Very Active,2.0,1092.65,Yes
Mixed/SRD,Female,7.0,19.05,Medium,Active,Special diet,Iams,4.83,Yes,No,9.0,0.0,Very Active,1.0,638.29,Yes
Siberian Husky,Female,13.0,12.25,Medium,Active,Home cooked,Special,9.66,No,No,10.0,2.0,Low,3.0,458.35,Yes
Golden Retriever,Male,6.0,22.68,Medium,Low,Home cooked,Special,0.0,Yes,No,12.0,2.0,Low,2.0,727.5,No
German Shepherd,Male,7.0,20.41,Medium,Active,Hard food,Nutro,8.05,Yes,No,12.0,1.0,Very Active,2.0,672.17,No
Poodle,Male,13.0,19.05,Medium,Active,Special diet,Wellness,4.83,Yes,No,12.0,1.0,Active,2.0,638.29,Yes
Australian Shepherd,Male,7.0,22.68,Medium,Active,Home cooked,Special,4.83,No,No,13.0,2.0,Active,2.0,727.5,Yes
Beagle,Female,5.0,22.23,Medium,Active,Hard food,Pedigree,4.83,No,No,9.0,3.0,Low,2.0,716.64,Yes
Poodle,Female,11.0,4.54,Small,Active,Wet food,Royal Canin,3.22,Yes,No,11.0,2.0,Moderate,1.0,217.72,No
Doberman,Male,9.0,33.11,Large,Active,Wet food,Purina,3.22,No,No,10.0,1.0,Active,1.0,966.2,Yes
Poodle,Female,7.0,16.33,Medium,Very Active,Home cooked,Special,4.83,No,No,11.0,3.0,Very Active,4.0,568.64,Yes
Rottweiler,Male,5.0,21.32,Medium,Moderate,Wet food,Wellness,4.83,Yes,No,11.0,1.0,Moderate,1.0,694.53,Yes
Australian Shepherd,Male,12.0,36.29,Large,Very Active,Hard food,Royal Canin,0.0,Yes,No,10.0,3.0,Active,1.0,1035.0,Yes
Labrador Retriever,Male,6.0,26.31,Large,Active,Hard food,Blue Buffalo,0.0,Yes,No,12.0,0.0,Active,4.0,813.18,No
Yorkshire Terrier,Female,9.0,29.48,Large,Active,Home cooked,Special,4.83,Yes,No,10.0,2.0,Active,2.0,885.61,Yes
Doberman,Female,1.0,14.97,Medium,Active,Special diet,Purina,8.05,No,No,11.0,0.0,Very Active,3.0,532.74,Yes
Great Dane,Female,13.0,27.22,Large,Active,Special diet,Wellness,1.61,Yes,No,11.0,1.0,Moderate,1.0,834.19,Yes
Australian Shepherd,Male,11.0,31.75,Large,Very Active,Home cooked,Special,3.22,Yes,No,11.0,1.0,Moderate,1.0,936.28,Yes
Golden Retriever,Male,5.0,21.32,Medium,Low,Home cooked,Special,4.83,No,No,8.0,1.0,Active,2.0,694.53,Yes
Boxer,Female,1.0,31.75,Large,Low,Home cooked,Special,1.61,No,No,13.0,3.0,Very Active,1.0,936.28,Yes
Great Dane,Male,11.0,25.85,Large,Active,Hard food,Iams,4.83,No,No,11.0,1.0,Low,0.0,802.5,Yes
Rottweiler,Male,11.0,27.67,Large,Moderate,Wet food,Nutro,6.44,No,No,11.0,2.0,Moderate,4.0,844.51,Yes
Doberman,Male,7.0,18.6,Medium,Moderate,Wet food,Purina,4.83,Yes,Yes,13.0,1.0,Active,0.0,626.95,No
Bulldog,Male,6.0,15.88,Medium,Active,Hard food,Purina,4.83,Yes,No,9.0,1.0,Moderate,1.0,556.85,Yes
Rottweiler,Female,5.0,25.85,Large,Active,Hard food,Blue Buffalo,3.22,Yes,No,13.0,1.0,Very Active,4.0,802.5,Yes
Dachshund,Female,8.0,15.88,Medium,Active,Special diet,Purina,0.0,No,No,12.0,2.0,Active,1.0,556.85,Yes
Boxer,Male,8.0,38.56,Large,Moderate,Special diet,Iams,4.83,Yes,No,12.0,3.0,Low,1.0,1083.18,Yes
Rottweiler,Male,9.0,18.14,Medium,Active,Wet food,Purina,3.22,No,No,11.0,0.0,Very Active,0.0,615.28,Yes
Siberian Husky,Male,1.0,15.88,Medium,Active,Wet food,Pedigree,4.83,Yes,No,11.0,2.0,Very Active,0.0,556.85,No
