Raca,Sexo,Idade,peso_kg,porte_animal,Nivel_Atividade_Pet,Dieta_Atual,Marca_Racao,caminhada_diaria_km,Medicamentos,Convulsoes,Horas_Sono,Tempo_Brincadeira_Horas,Visitas_Anuais_Veterinario,calorias_diarias_RER,Status_Saude
Beagle,Fêmea,7.0,21.32,Médio,Baixo,Especial,Iams,4.83,Não,Sim,10.0,2.0,2.0,694.53,Sim
SRD (Sem Raça Definida),Fêmea,13.0,21.32,Médio,Ativo,Especial,Blue Buffalo,8.05,Não,Não,8.0,2.0,3.0,694.53,Sim
Rottweiler,Fêmea,13.0,25.4,Grande,Ativo,Ração Seca,Wellness,3.22,Não,Não,13.0,2.0,3.0,792.0,Não
Boxer,Fêmea,7.0,19.96,Médio,Ativo,Ração Seca,Iams,3.22,Não,Não,10.0,2.0,1.0,661.03,Não
Chihuahua,Macho,1.0,30.39,Grande,Ativo,Especial,Nutro,8.05,Sim,Não,11.0,0.0,2.0,906.04,Sim
Rottweiler,Fêmea,11.0,23.13,Médio,Ativo,Caseira,Special,3.22,Sim,Não,14.0,0.0,1.0,738.29,Sim
Australian Shepherd,Macho,7.0,10.89,Médio,Moderado,Caseira,Special,6.44,Sim,Não,11.0,2.0,1.0,419.63,Sim
Boxer,Macho,2.0,27.67,Grande,Ativo,Caseira,Special,4.83,Sim,Não,10.0,2.0,2.0,844.51,Sim
Doberman,Fêmea,13.0,13.61,Médio,Baixo,Caseira,Special,1.61,Sim,Não,11.0,2.0,0.0,496.01,Não
Doberman,Fêmea,1.0,23.13,Médio,Moderado,Úmida,Purina,9.66,Sim,Não,11.0,0.0,2.0,738.29,Não
SRD (Sem Raça Definida),Macho,6.0,22.68,Médio,Moderado,Ração Seca,Pedigree,3.22,Não,Não,13.0,1.0,0.0,727.5,Sim
Boxer,Macho,1.0,31.3,Grande,Ativo,Especial,Blue Buffalo,6.44,Não,Não,11.0,0.0,4.0,926.31,Sim
German Shepherd,Macho,13.0,24.95,Médio,Ativo,Úmida,Iams,0.0,Não,Não,12.0,2.0,2.0,781.45,Não
Siberian Husky,Fêmea,2.0,25.4,Grande,Ativo,Úmida,Purina,3.22,Não,Não,11.0,1.0,3.0,792.0,Sim
Golden Retriever,Fêmea,5.0,25.4,Grande,Baixo,Úmida,Royal Canin,3.22,Sim,Não,13.0,2.0,0.0,792.0,Não
Doberman,Macho,1.0,14.51,Médio,Muito Ativo,Úmida,Special,4.83,Sim,Não,11.0,0.0,2.0,520.41,Sim
Poodle,Fêmea,7.0,31.75,Grande,Ativo,Caseira,Special,1.61,Sim,Não,12.0,4.0,1.0,936.28,Sim
Labrador Retriever,Fêmea,7.0,24.95,Médio,Muito Ativo,Caseira,Special,3.22,Não,Não,10.0,1.0,4.0,781.45,Sim
Siberian Husky,Macho,2.0,28.12,Grande,Ativo,Especial,Iams,9.66,Não,Não,8.0,2.0,4.0,854.79,Sim
Great Dane,Fêmea,8.0,21.77,Médio,Muito Ativo,Ração Seca,Iams,0.0,Não,Não,8.0,1.0,1.0,705.49,Sim
Doberman,Fêmea,5.0,30.84,Grande,Ativo,Caseira,Special,4.83,Não,Sim,11.0,2.0,1.0,916.08,Sim
Yorkshire Terrier,Fêmea,12.0,21.32,Médio,Ativo,Caseira,Special,8.05,Não,Não,11.0,2.0,2.0,694.53,Sim
German Shepherd,Fêmea,2.0,21.32,Médio,Ativo,Ração Seca,Wellness,1.61,Sim,Não,10.0,0.0,4.0,694.53,Sim
Golden Retriever,Fêmea,5.0,22.68,Médio,Ativo,Especial,Blue Buffalo,4.83,Não,Não,11.0,2.0,0.0,727.5,Sim
Siberian Husky,Fêmea,12.0,22.68,Médio,Moderado,Especial,Royal Canin,3.22,Sim,Não,13.0,0.0,1.0,727.5,Sim
Labrador Retriever,Fêmea,4.0,16.78,Médio,Moderado,Caseira,Special,0.0,Sim,Não,11.0,0.0,0.0,580.35,Sim
Boxer,Fêmea,7.0,33.11,Grande,Muito Ativo,Caseira,Special,8.05,Não,Não,13.0,1.0,3.0,966.2,Sim
Doberman,Macho,10.0,27.22,Grande,Baixo,Especial,Royal Canin,3.22,Sim,Não,12.0,2.0,3.0,834.19,Sim
Labrador Retriever,Fêmea,6.0,24.04,Médio,Ativo,Ração Seca,Blue Buffalo,8.05,Sim,Não,11.0,1.0,1.0,759.97,Sim
Golden Retriever,Macho,13.0,29.94,Grande,Muito Ativo,Ração Seca,Wellness,3.22,Não,Não,10.0,1.0,1.0,895.96,Sim
Beagle,Fêmea,10.0,24.49,Médio,Ativo,Ração Seca,Iams,1.61,Sim,Não,10.0,1.0,3.0,770.62,Não
Labrador Retriever,Macho,6.0,24.95,Médio,Ativo,Ração Seca,Wellness,3.22,Não,Não,11.0,3.0,1.0,781.45,Sim
Beagle,Fêmea,12.0,36.74,Grande,Moderado,Especial,Royal Canin,6.44,Sim,Não,12.0,0.0,1.0,1044.61,Não
Golden Retriever,Fêmea,12.0,24.95,Médio,Ativo,Caseira,Special,6.44,Não,Sim,11.0,2.0,2.0,781.45,Sim
Beagle,Fêmea,12.0,15.88,Médio,Moderado,Caseira,Special,3.22,Sim,Não,11.0,2.0,1.0,556.85,Sim
Australian Shepherd,Macho,6.0,29.03,Grande,Moderado,Úmida,Iams,3.22,Não,Não,11.0,2.0,0.0,875.45,Sim
German Shepherd,Macho,5.0,27.22,Grande,Moderado,Ração Seca,Blue Buffalo,0.0,Sim,Não,12.0,2.0,1.0,834.19,Não
Great Dane,Fêmea,8.0,10.89,Médio,Moderado,Caseira,Special,6.44,Não,Não,9.0,3.0,2.0,419.63,Sim
Labrador Retriever,Fêmea,4.0,11.34,Médio,Ativo,Úmida,Nutro,6.44,Não,Não,13.0,2.0,0.0,432.57,Sim
Poodle,Macho,11.0,22.68,Médio,Baixo,Especial,Nutro,0.0,Não,Não,11.0,1.0,1.0,727.5,Sim
German Shepherd,Fêmea,7.0,19.96,Médio,Muito Ativo,Úmida,Blue Buffalo,0.0,Sim,Não,11.0,2.0,1.0,661.03,Sim
Yorkshire Terrier,Macho,6.0,10.89,Médio,Baixo,Ração Seca,Special,4.83,Não,Não,11.0,2.0,1.0,419.63,Sim
Chihuahua,Macho,5.0,24.95,Médio,Ativo,Especial,Purina,4.83,Não,Não,10.0,1.0,2.0,781.45,Sim
Labrador Retriever,Fêmea,3.0,20.87,Médio,Baixo,Úmida,Royal Canin,0.0,Sim,Não,13.0,3.0,1.0,683.5,Sim
Poodle,Macho,13.0,6.35,Pequeno,Moderado,Especial,Purina,8.05,Não,Não,12.0,0.0,3.0,280.01,Sim
Bulldog,Fêmea,1.0,30.39,Grande,Baixo,Caseira,Special,3.22,Sim,Não,14.0,0.0,1.0,906.04,Não
Dachshund,Fêmea,2.0,28.58,Grande,Moderado,Ração Seca,Iams,8.05,Sim,Não,10.0,2.0,4.0,865.26,Sim
Beagle,Macho,7.0,14.97,Médio,Ativo,Especial,Wellness,3.22,Sim,Sim,11.0,2.0,1.0,532.74,Não
German Shepherd,Macho,11.0,33.11,Grande,Muito Ativo,Caseira,Special,3.22,Não,Não,10.0,0.0,3.0,966.2,Sim
Poodle,Macho,13.0,27.67,Grande,Ativo,Úmida,Blue Buffalo,6.44,Sim,Não,12.0,1.0,4.0,844.51,Não
Rottweiler,Macho,4.0,15.42,Médio,Muito Ativo,Caseira,Special,6.44,Não,Não,12.0,2.0,1.0,544.7,Sim
Bulldog,Macho,13.0,22.68,Médio,Baixo,Úmida,Purina,6.44,Não,Não,10.0,1.0,1.0,727.5,Sim
Bulldog,Fêmea,10.0,21.77,Médio,Muito Ativo,Ração Seca,Hill's Science,4.83,Não,Não,12.0,0.0,2.0,705.49,Sim
Yorkshire Terrier,Macho,3.0,18.6,Médio,Ativo,Especial,Iams,0.0,Não,Sim,12.0,1.0,1.0,626.95,Sim
Rottweiler,Fêmea,6.0,15.42,Médio,Baixo,Especial,Pedigree,3.22,Sim,Não,10.0,2.0,1.0,544.7,Sim
Great Dane,Fêmea,3.0,28.12,Grande,Ativo,Ração Seca,Pedigree,0.0,Não,Não,11.0,0.0,0.0,854.79,Não
Golden Retriever,Fêmea,1.0,16.33,Médio,Ativo,Úmida,Purina,6.44,Sim,Não,10.0,2.0,2.0,568.64,Sim
Rottweiler,Fêmea,7.0,8.16,Pequeno,Moderado,Úmida,Wellness,3.22,Não,Não,10.0,0.0,1.0,337.96,Não
Labrador Retriever,Macho,1.0,11.34,Médio,Ativo,Especial,Wellness,3.22,Não,Não,10.0,3.0,4.0,432.57,Sim
Rottweiler,Fêmea,3.0,15.88,Médio,Baixo,Ração Seca,Pedigree,3.22,Sim,Sim,11.0,1.0,1.0,556.85,Não
Bulldog,Macho,8.0,34.47,Grande,Ativo,Ração Seca,Hill's Science,3.22,Sim,Não,10.0,2.0,2.0,995.82,Sim
Siberian Husky,Fêmea,11.0,7.71,Pequeno,Moderado,Caseira,Special,6.44,Sim,Não,12.0,2.0,1.0,323.88,Não
Poodle,Macho,7.0,19.96,Médio,Moderado,Especial,Hill's Science,6.44,Sim,Não,14.0,0.0,1.0,661.03,Sim
Siberian Husky,Fêmea,9.0,22.23,Médio,Ativo,Caseira,Special,6.44,Não,Não,10.0,1.0,2.0,716.64,Sim
SRD (Sem Raça Definida),Fêmea,5.0,19.05,Médio,Ativo,Úmida,Nutro,4.83,Não,Não,12.0,1.0,1.0,638.29,Sim
German Shepherd,Macho,7.0,15.42,Médio,Ativo,Ração Seca,Blue Buffalo,1.61,Sim,Não,14.0,0.0,1.0,544.7,Não
Doberman,Macho,2.0,40.82,Grande,Muito Ativo,Caseira,Special,1.61,Sim,Não,10.0,1.0,0.0,1130.45,Não
Golden Retriever,Macho,2.0,18.6,Médio,Muito Ativo,Ração Seca,Wellness,1.61,Não,Não,12.0,1.0,2.0,626.95,Sim
German Shepherd,Macho,11.0,9.98,Pequeno,Moderado,Especial,Nutro,3.22,Sim,Não,10.0,2.0,1.0,393.05,Não
Boxer,Macho,2.0,28.58,Grande,Ativo,Especial,Iams,3.22,Não,Sim,11.0,2.0,1.0,865.26,Sim
Yorkshire Terrier,Macho,10.0,14.51,Médio,Baixo,Especial,Iams,6.44,Sim,Sim,10.0,0.0,1.0,520.41,Não
German Shepherd,Fêmea,10.0,26.31,Grande,Moderado,Ração Seca,Blue Buffalo,3.22,Não,Não,11.0,3.0,2.0,813.18,Não
Chihuahua,Fêmea,4.0,24.49,Médio,Muito Ativo,Ração Seca,Hill's Science,4.83,Não,Não,11.0,2.0,1.0,770.62,Sim
Dachshund,Fêmea,4.0,14.97,Médio,Moderado,Caseira,Special,6.44,Sim,Não,9.0,0.0,3.0,532.74,Sim
Golden Retriever,Fêmea,12.0,19.96,Médio,Ativo,Úmida,Hill's Science,1.61,Sim,Não,10.0,0.0,0.0,661.03,Não
Beagle,Fêmea,2.0,30.39,Grande,Ativo,Ração Seca,Hill's Science,3.22,Não,Não,10.0,0.0,4.0,906.04,Sim
Bulldog,Macho,9.0,15.88,Médio,Baixo,Caseira,Special,3.22,Não,Não,10.0,1.0,1.0,556.85,Sim
Boxer,Macho,10.0,24.95,Médio,Ativo,Ração Seca,Iams,3.22,Não,Sim,10.0,2.0,3.0,781.45,Sim
Doberman,Macho,6.0,15.88,Médio,Muito Ativo,Especial,Hill's Science,0.0,Sim,Não,10.0,2.0,2.0,556.85,Sim
Yorkshire Terrier,Fêmea,7.0,24.04,Médio,Muito Ativo,Caseira,Special,3.22,Sim,Não,12.0,2.0,2.0,759.97,Sim
Siberian Husky,Macho,11.0,29.48,Grande,Muito Ativo,Caseira,Special,8.05,Não,Não,11.0,2.0,2.0,885.61,Sim
German Shepherd,Fêmea,7.0,16.78,Médio,Moderado,Úmida,Pedigree,3.22,Sim,Não,11.0,2.0,1.0,580.35,Sim
Poodle,Fêmea,12.0,10.43,Médio,Ativo,Ração Seca,Wellness,1.61,Não,Não,14.0,1.0,1.0,406.27,Não
Poodle,Fêmea,4.0,16.78,Médio,Muito Ativo,Especial,Nutro,4.83,Não,Não,11.0,1.0,2.0,580.35,Sim
Golden Retriever,Macho,10.0,18.14,Médio,Muito Ativo,Especial,Royal Canin,1.61,Não,Não,12.0,0.0,3.0,615.28,Sim
Labrador Retriever,Fêmea,11.0,18.14,Médio,Ativo,Úmida,Blue Buffalo,1.61,Sim,Não,9.0,2.0,4.0,615.28,Sim
Yorkshire Terrier,Macho,2.0,19.5,Médio,Muito Ativo,Especial,Hill's Science,1.61,Sim,Não,12.0,2.0,3.0,649.57,Sim
Boxer,Fêmea,2.0,22.68,Médio,Muito Ativo,Especial,Iams,4.83,Não,Não,11.0,1.0,1.0,727.5,Sim
Doberman,Macho,8.0,17.24,Médio,Baixo,Úmida,Royal Canin,1.61,Sim,Não,11.0,4.0,1.0,592.24,Sim
Siberian Husky,Macho,12.0,23.59,Médio,Ativo,Ração Seca,Wellness,6.44,Não,Não,9.0,2.0,3.0,749.28,Sim
Boxer,Fêmea,7.0,14.51,Médio,Ativo,Ração Seca,Iams,3.22,Sim,Não,13.0,1.0,0.0,520.41,Não
Beagle,Macho,1.0,27.22,Grande,Baixo,Ração Seca,Hill's Science,4.83,Sim,Sim,12.0,2.0,1.0,834.19,Não
Chihuahua,Macho,9.0,21.77,Médio,Moderado,Especial,Royal Canin,4.83,Sim,Não,12.0,1.0,0.0,705.49,Não
Bulldog,Fêmea,3.0,22.68,Médio,Ativo,Especial,Purina,3.22,Não,Não,13.0,3.0,3.0,727.5,Sim
Poodle,Fêmea,11.0,16.78,Médio,Ativo,Úmida,Blue Buffalo,1.61,Não,Não,11.0,2.0,1.0,580.35,Sim
Golden Retriever,Fêmea,13.0,19.05,Médio,Ativo,Especial,Wellness,6.44,Não,Não,11.0,0.0,1.0,638.29,Sim
Great Dane,Macho,3.0,22.68,Médio,Ativo,Ração Seca,Blue Buffalo,4.83,Não,Não,11.0,2.0,1.0,727.5,Sim
Boxer,Fêmea,13.0,21.32,Médio,Ativo,Especial,Iams,4.83,Sim,Não,12.0,2.0,1.0,694.53,Sim
Great Dane,Macho,8.0,26.31,Grande,Ativo,Especial,Wellness,1.61,Não,Não,12.0,2.0,2.0,813.18,Sim
Beagle,Macho,9.0,17.24,Médio,Ativo,Ração Seca,Pedigree,1.61,Não,Não,9.0,1.0,0.0,592.24,Não
Australian Shepherd,Macho,7.0,33.11,Grande,Muito Ativo,Úmida,Purina,3.22,Não,Não,9.0,1.0,2.0,966.2,Sim
Rottweiler,Macho,7.0,24.04,Médio,Moderado,Úmida,Hill's Science,6.44,Não,Não,11.0,3.0,1.0,759.97,Sim
Beagle,Fêmea,9.0,25.85,Grande,Moderado,Ração Seca,Purina,3.22,Não,Sim,13.0,2.0,1.0,802.5,Não
Poodle,Macho,7.0,22.68,Médio,Ativo,Ração Seca,Iams,4.83,Sim,Não,9.0,1.0,0.0,727.5,Não
Beagle,Macho,11.0,23.59,Médio,Moderado,Caseira,Special,6.44,Sim,Não,9.0,2.0,3.0,749.28,Sim
Poodle,Macho,11.0,32.21,Grande,Ativo,Caseira,Special,1.61,Não,Não,11.0,2.0,2.0,946.44,Sim
German Shepherd,Fêmea,5.0,22.68,Médio,Muito Ativo,Úmida,Special,3.22,Sim,Não,12.0,1.0,2.0,727.5,Sim
Bulldog,Macho,1.0,28.58,Grande,Muito Ativo,Úmida,Purina,4.83,Sim,Não,10.0,2.0,3.0,865.26,Sim
Yorkshire Terrier,Fêmea,6.0,20.41,Médio,Muito Ativo,Ração Seca,Special,0.0,Não,Não,9.0,2.0,2.0,672.17,Sim
German Shepherd,Macho,3.0,10.89,Médio,Muito Ativo,Úmida,Iams,3.22,Não,Não,11.0,1.0,2.0,419.63,Sim
Boxer,Macho,9.0,34.47,Grande,Ativo,Úmida,Iams,4.83,Não,Sim,10.0,1.0,1.0,995.82,Sim
Great Dane,Macho,13.0,21.77,Médio,Moderado,Caseira,Special,1.61,Sim,Não,11.0,3.0,0.0,705.49,Não
Labrador Retriever,Macho,5.0,28.58,Grande,Ativo,Especial,Royal Canin,4.83,Não,Não,14.0,2.0,1.0,865.26,Sim
Poodle,Fêmea,13.0,27.22,Grande,Ativo,Ração Seca,Special,4.83,Não,Não,10.0,0.0,1.0,834.19,Sim
Labrador Retriever,Fêmea,6.0,26.31,Grande,Baixo,Caseira,Special,4.83,Não,Não,12.0,1.0,0.0,813.18,Sim
Bulldog,Macho,6.0,13.15,Médio,Ativo,Úmida,Pedigree,3.22,Não,Não,12.0,2.0,2.0,483.38,Sim
Boxer,Fêmea,13.0,30.84,Grande,Ativo,Úmida,Hill's Science,1.61,Não,Não,9.0,2.0,2.0,916.08,Sim
Rottweiler,Macho,10.0,22.68,Médio,Moderado,Caseira,Special,1.61,Não,Sim,10.0,2.0,1.0,727.5,Sim
Beagle,Macho,10.0,25.4,Grande,Ativo,Caseira,Special,8.05,Não,Não,9.0,0.0,4.0,792.0,Sim
Bulldog,Fêmea,1.0,20.41,Médio,Ativo,Ração Seca,Wellness,3.22,Não,Não,10.0,2.0,0.0,672.17,Não
Dachshund,Macho,9.0,29.48,Grande,Muito Ativo,Caseira,Special,4.83,Não,Não,10.0,1.0,1.0,885.61,Sim
Boxer,Fêmea,11.0,26.31,Grande,Ativo,Especial,Royal Canin,0.0,Sim,Não,12.0,1.0,3.0,813.18,Não
Labrador Retriever,Fêmea,1.0,25.85,Grande,Muito Ativo,Especial,Royal Canin,4.83,Não,Não,11.0,3.0,4.0,802.5,Sim
Australian Shepherd,Fêmea,6.0,25.85,Grande,Muito Ativo,Caseira,Special,0.0,Não,Não,11.0,4.0,2.0,802.5,Sim
Chihuahua,Macho,8.0,17.69,Médio,Ativo,Ração Seca,Nutro,4.83,Sim,Sim,12.0,1.0,1.0,603.8,Sim
Dachshund,Macho,2.0,19.5,Médio,Moderado,Especial,Hill's Science,6.44,Sim,Não,11.0,1.0,3.0,649.57,Sim
Boxer,Macho,6.0,19.96,Médio,Baixo,Ração Seca,Blue Buffalo,6.44,Não,Não,12.0,1.0,2.0,661.03,Sim
Doberman,Fêmea,6.0,19.96,Médio,Ativo,Ração Seca,Blue Buffalo,1.61,Não,Não,11.0,2.0,1.0,661.03,Sim
Chihuahua,Macho,8.0,22.23,Médio,Muito Ativo,Especial,Nutro,1.61,Sim,Não,11.0,2.0,4.0,716.64,Sim
Siberian Husky,Macho,11.0,21.77,Médio,Muito Ativo,Ração Seca,Hill's Science,3.22,Sim,Não,9.0,1.0,3.0,705.49,Sim
German Shepherd,Fêmea,7.0,34.93,Grande,Baixo,Caseira,Special,1.61,Sim,Sim,10.0,2.0,1.0,1005.77,Não
Siberian Husky,Fêmea,12.0,25.4,Grande,Muito Ativo,Úmida,Purina,3.22,Não,Não,12.0,2.0,0.0,792.0,Sim
Yorkshire Terrier,Macho,6.0,26.76,Grande,Muito Ativo,Ração Seca,Blue Buffalo,3.22,Sim,Não,11.0,2.0,0.0,823.59,Sim
Dachshund,Fêmea,12.0,5.44,Pequeno,Ativo,Caseira,Special,1.61,Sim,Não,10.0,3.0,1.0,249.34,Não
Dachshund,Fêmea,3.0,20.41,Médio,Muito Ativo,Úmida,Royal Canin,4.83,Não,Não,11.0,3.0,1.0,672.17,Sim
Labrador Retriever,Macho,4.0,20.87,Médio,Baixo,Especial,Pedigree,4.83,Não,Não,10.0,0.0,1.0,683.5,Sim
Rottweiler,Macho,12.0,17.69,Médio,Baixo,Especial,Royal Canin,6.44,Sim,Não,11.0,2.0,0.0,603.8,Não
Dachshund,Macho,12.0,37.65,Grande,Ativo,Especial,Wellness,3.22,Não,Não,12.0,2.0,2.0,1063.95,Não
Chihuahua,Macho,3.0,17.24,Médio,Muito Ativo,Ração Seca,Pedigree,4.83,Sim,Não,13.0,3.0,1.0,592.24,Sim
Dachshund,Macho,6.0,21.77,Médio,Ativo,Especial,Iams,3.22,Não,Não,13.0,0.0,1.0,705.49,Sim
Labrador Retriever,Fêmea,12.0,30.84,Grande,Moderado,Úmida,Pedigree,4.83,Não,Não,10.0,2.0,1.0,916.08,Sim
Rottweiler,Fêmea,6.0,24.95,Médio,Ativo,Ração Seca,Blue Buffalo,1.61,Sim,Não,12.0,1.0,1.0,781.45,Sim
Siberian Husky,Fêmea,8.0,7.26,Pequeno,Moderado,Caseira,Special,1.61,Sim,Não,11.0,0.0,1.0,309.6,Sim
Bulldog,Macho,5.0,25.85,Grande,Baixo,Caseira,Special,6.44,Sim,Não,10.0,1.0,2.0,802.5,Sim
Chihuahua,Fêmea,8.0,14.06,Médio,Baixo,Especial,Pedigree,3.22,Não,Não,9.0,1.0,0.0,508.26,Sim
Doberman,Fêmea,7.0,19.05,Médio,Muito Ativo,Caseira,Special,6.44,Sim,Não,13.0,2.0,1.0,638.29,Sim
Boxer,Macho,4.0,25.85,Grande,Ativo,Úmida,Iams,4.83,Sim,Não,10.0,0.0,2.0,802.5,Não
Doberman,Fêmea,11.0,18.6,Médio,Ativo,Caseira,Special,0.0,Não,Não,13.0,1.0,3.0,626.95,Sim
Yorkshire Terrier,Fêmea,5.0,13.61,Médio,Ativo,Úmida,Purina,4.83,Sim,Sim,11.0,2.0,0.0,496.01,Não
Boxer,Fêmea,7.0,33.11,Grande,Baixo,Especial,Pedigree,6.44,Não,Não,12.0,2.0,1.0,966.2,Sim
Rottweiler,Macho,8.0,31.3,Grande,Ativo,Úmida,Wellness,8.05,Sim,Não,11.0,2.0,1.0,926.31,Sim
German Shepherd,Macho,7.0,25.4,Grande,Muito Ativo,Caseira,Special,0.0,Sim,Não,12.0,2.0,3.0,792.0,Sim
Boxer,Fêmea,8.0,20.87,Médio,Ativo,Caseira,Special,6.44,Não,Não,12.0,2.0,0.0,683.5,Sim
SRD (Sem Raça Definida),Fêmea,9.0,26.31,Grande,Muito Ativo,Caseira,Special,8.05,Não,Não,11.0,2.0,0.0,813.18,Sim
Poodle,Macho,5.0,27.67,Grande,Baixo,Especial,Nutro,1.61,Sim,Não,10.0,2.0,0.0,844.51,Sim
Chihuahua,Fêmea,12.0,8.62,Pequeno,Baixo,Caseira,Special,9.66,Não,Sim,11.0,3.0,0.0,352.15,Não
Poodle,Macho,9.0,33.57,Grande,Baixo,Úmida,Purina,0.0,Não,Não,11.0,3.0,3.0,976.25,Não
Boxer,Macho,10.0,39.01,Grande,Muito Ativo,Úmida,Special,8.05,Sim,Não,11.0,2.0,1.0,1092.65,Não
Yorkshire Terrier,Macho,10.0,34.93,Grande,Ativo,Caseira,Special,4.83,Sim,Não,10.0,3.0,2.0,1005.77,Sim
Bulldog,Macho,12.0,22.68,Médio,Muito Ativo,Úmida,Special,0.0,Não,Não,12.0,1.0,1.0,727.5,Sim
Australian Shepherd,Fêmea,12.0,13.15,Médio,Baixo,Caseira,Special,4.83,Não,Não,13.0,1.0,1.0,483.38,Sim
Beagle,Macho,8.0,15.42,Médio,Ativo,Especial,Wellness,8.05,Não,Não,11.0,0.0,3.0,544.7,Sim
Bulldog,Fêmea,1.0,20.87,Médio,Ativo,Úmida,Nutro,3.22,Sim,Não,12.0,2.0,1.0,683.5,Não
Beagle,Macho,4.0,26.76,Grande,Ativo,Úmida,Special,4.83,Não,Não,11.0,2.0,3.0,823.59,Sim
Dachshund,Fêmea,5.0,29.94,Grande,Muito Ativo,Úmida,Nutro,4.83,Sim,Não,9.0,2.0,2.0,895.96,Sim
Doberman,Fêmea,10.0,38.56,Grande,Muito Ativo,Úmida,Hill's Science,4.83,Sim,Não,11.0,3.0,0.0,1083.18,Não
Beagle,Fêmea,4.0,17.69,Médio,Ativo,Especial,Nutro,4.83,Sim,Não,8.0,2.0,2.0,603.8,Sim
Siberian Husky,Macho,7.0,6.35,Pequeno,Moderado,Caseira,Special,1.61,Não,Não,11.0,0.0,1.0,280.01,Não
Boxer,Fêmea,7.0,24.49,Médio,Ativo,Especial,Hill's Science,3.22,Sim,Não,12.0,1.0,1.0,770.62,Sim
Chihuahua,Fêmea,3.0,23.13,Médio,Ativo,Ração Seca,Royal Canin,4.83,Não,Não,13.0,0.0,2.0,738.29,Sim
Poodle,Macho,13.0,20.87,Médio,Muito Ativo,Ração Seca,Pedigree,1.61,Sim,Não,10.0,2.0,1.0,683.5,Sim
Dachshund,Macho,3.0,20.87,Médio,Baixo,Úmida,Special,3.22,Não,Não,11.0,2.0,0.0,683.5,Sim
Yorkshire Terrier,Macho,10.0,9.98,Pequeno,Moderado,Especial,Purina,3.22,Sim,Não,14.0,1.0,0.0,393.05,Não
Chihuahua,Macho,9.0,26.76,Grande,Baixo,Úmida,Royal Canin,3.22,Sim,Não,10.0,2.0,1.0,823.59,Não
Labrador Retriever,Fêmea,10.0,32.66,Grande,Muito Ativo,Especial,Pedigree,6.44,Não,Não,11.0,4.0,1.0,956.34,Sim
Dachshund,Fêmea,9.0,21.77,Médio,Baixo,Úmida,Purina,4.83,Não,Não,11.0,1.0,3.0,705.49,Sim
Bulldog,Fêmea,5.0,21.77,Médio,Muito Ativo,Caseira,Special,4.83,Sim,Não,11.0,1.0,1.0,705.49,Sim
Australian Shepherd,Fêmea,6.0,24.04,Médio,Baixo,Úmida,Royal Canin,6.44,Sim,Não,12.0,1.0,2.0,759.97,Não
Rottweiler,Fêmea,9.0,9.07,Pequeno,Ativo,Úmida,Nutro,0.0,Não,Não,11.0,2.0,3.0,365.85,Sim
Poodle,Macho,6.0,20.41,Médio,Moderado,Caseira,Special,0.0,Não,Não,14.0,0.0,1.0,672.17,Sim
Bulldog,Macho,8.0,24.95,Médio,Muito Ativo,Úmida,Blue Buffalo,4.83,Não,Não,12.0,2.0,4.0,781.45,Sim
Great Dane,Fêmea,1.0,20.41,Médio,Baixo,Especial,Pedigree,3.22,Sim,Não,10.0,2.0,2.0,672.17,Não
Bulldog,Macho,1.0,16.78,Médio,Muito Ativo,Úmida,Purina,4.83,Não,Não,11.0,2.0,2.0,580.35,Sim
Labrador Retriever,Fêmea,7.0,31.3,Grande,Baixo,Caseira,Special,4.83,Sim,Não,8.0,3.0,2.0,926.31,Sim
Beagle,Macho,3.0,22.68,Médio,Ativo,Caseira,Special,4.83,Sim,Não,12.0,1.0,0.0,727.5,Sim
Siberian Husky,Macho,2.0,9.53,Pequeno,Moderado,Caseira,Special,0.0,Sim,Não,10.0,1.0,1.0,379.68,Sim
German Shepherd,Fêmea,8.0,19.05,Médio,Muito Ativo,Ração Seca,Nutro,0.0,Sim,Não,11.0,2.0,2.0,638.29,Sim
Dachshund,Macho,9.0,27.22,Grande,Ativo,Ração Seca,Pedigree,1.61,Não,Não,11.0,2.0,1.0,834.19,Não
Bulldog,Macho,1.0,20.87,Médio,Baixo,Especial,Purina,4.83,Não,Não,11.0,3.0,2.0,683.5,Sim
Dachshund,Fêmea,9.0,22.68,Médio,Moderado,Ração Seca,Blue Buffalo,1.61,Sim,Não,10.0,3.0,1.0,727.5,Não
Australian Shepherd,Macho,8.0,34.02,Grande,Moderado,Caseira,Special,3.22,Não,Não,11.0,3.0,1.0,986.05,Sim
Golden Retriever,Macho,3.0,17.24,Médio,Moderado,Ração Seca,Hill's Science,6.44,Não,Não,11.0,1.0,2.0,592.24,Sim
Rottweiler,Macho,5.0,22.23,Médio,Muito Ativo,Especial,Royal Canin,3.22,Não,Não,10.0,2.0,4.0,716.64,Sim
Chihuahua,Macho,2.0,19.05,Médio,Muito Ativo,Úmida,Purina,4.83,Sim,Não,12.0,2.0,4.0,638.29,Sim
Bulldog,Fêmea,13.0,22.23,Médio,Ativo,Úmida,Purina,3.22,Sim,Não,12.0,2.0,0.0,716.64,Não
Poodle,Fêmea,4.0,29.48,Grande,Moderado,Caseira,Special,1.61,Sim,Não,11.0,0.0,1.0,885.61,Sim
Rottweiler,Fêmea,2.0,14.97,Médio,Ativo,Úmida,Blue Buffalo,4.83,Sim,Não,11.0,2.0,1.0,532.74,Sim
